date,day_of_week,cnt,cycle2,cycle5,cycle5_2,cycle10
104,6,1462,104,104,104,0.29714285714285715
105,7,1626,105,105,105,0.3
106,1,73,106,106,106,0.3028571428571429
107,4,2484,107,107,107,0.3057142857142857
108,5,1723,108,108,108,0.30857142857142855
109,6,104,109,109,109,0.31142857142857144
110,1,2427,110,110,110,0.3142857142857143
111,2,2587,111,111,111,0.3171428571428571
112,3,2220,112,112,112,0.32
113,4,1142,113,113,113,0.32285714285714284
114,5,1934,114,114,114,0.32571428571428573
115,6,121,115,115,115,0.32857142857142857
116,7,23,116,116,116,0.3314285714285714
117,1,2509,117,117,117,0.3342857142857143
118,2,2284,118,118,118,0.33714285714285713
119,3,2068,119,119,119,0.34
120,4,1088,120,120,120,0.34285714285714286
121,5,2030,121,121,121,0.3457142857142857
122,6,38,122,122,122,0.3485714285714286
123,1,1940,123,123,123,0.3514285714285714
124,2,2342,124,124,124,0.35428571428571426
125,3,5581,125,125,125,0.35714285714285715
126,4,2333,126,126,126,0.36
127,5,1931,127,127,127,0.3628571428571429
128,6,140,128,128,128,0.3657142857142857
129,1,1794,129,129,129,0.36857142857142855
130,2,2055,130,130,130,0.37142857142857144
131,3,1658,131,131,131,0.3742857142857143
132,4,1497,132,132,132,0.37714285714285717
133,5,1161,133,133,133,0.38
134,6,113,134,134,134,0.38285714285714284
135,7,14,135,135,135,0.38571428571428573
136,1,2374,136,136,136,0.38857142857142857
137,2,1885,137,137,137,0.3914285714285714
138,3,1606,138,138,138,0.3942857142857143
139,4,1690,139,139,139,0.39714285714285713
140,5,1354,140,140,140,0.4
141,6,1266,141,141,141,0.40285714285714286
142,7,1309,142,142,142,0.4057142857142857
143,1,89,143,143,143,0.4085714285714286
144,4,2265,144,144,144,0.4114285714285714
145,5,1721,145,145,145,0.4142857142857143
146,6,150,146,146,146,0.41714285714285715
147,7,26,147,147,147,0.42
148,1,1612,148,148,148,0.4228571428571429
149,2,2178,149,149,149,0.4257142857142857
150,3,1539,150,150,150,0.42857142857142855
151,4,1067,151,151,151,0.43142857142857144
152,5,1325,152,152,152,0.4342857142857143
153,6,85,153,153,153,0.43714285714285717
154,7,36,154,154,154,0.44
155,1,1778,155,155,155,0.44285714285714284
156,2,2336,156,156,156,0.44571428571428573
157,3,1487,157,157,157,0.44857142857142857
158,4,1025,158,158,158,0.4514285714285714
159,5,1659,159,159,159,0.4542857142857143
160,6,183,160,160,160,0.45714285714285713
161,1,1819,161,161,161,0.46
162,2,1781,162,162,162,0.46285714285714286
163,3,1924,163,163,163,0.4657142857142857
164,4,1256,164,164,164,0.4685714285714286
165,5,1526,165,165,165,0.4714285714285714
166,6,108,166,166,166,0.4742857142857143
167,7,14,167,167,167,0.47714285714285715
168,1,1804,168,168,168,0.48
169,2,1615,169,169,169,0.4828571428571429
170,3,1558,170,170,170,0.4857142857142857
171,4,810,171,171,171,0.48857142857142855
172,5,1603,172,172,172,0.49142857142857144
173,6,94,173,173,173,0.4942857142857143
174,7,23,174,174,174,0.49714285714285716
175,1,2141,175,175,175,0.5
176,2,1759,176,176,176,0.5028571428571429
177,3,1506,177,177,177,0.5057142857142857
178,4,1271,178,178,178,0.5085714285714286
179,5,1633,179,179,179,0.5114285714285715
180,6,154,180,180,180,0.5142857142857142
181,7,14,181,181,181,0.5171428571428571
182,1,2028,182,182,182,0.52
183,2,2033,183,183,183,0.5228571428571429
184,3,1346,184,184,184,0.5257142857142857
185,4,1031,185,185,185,0.5285714285714286
186,5,1290,186,186,186,0.5314285714285715
187,6,42,187,187,187,0.5342857142857143
188,1,1961,188,188,188,0.5371428571428571
189,2,1751,189,189,189,0.54
190,3,1505,190,190,190,0.5428571428571428
191,4,1477,191,191,191,0.5457142857142857
192,5,1892,192,192,192,0.5485714285714286
193,6,81,193,193,193,0.5514285714285714
194,1,2100,194,194,194,0.5542857142857143
195,2,1905,195,195,195,0.5571428571428572
196,3,1682,196,196,196,0.56
197,4,1370,197,197,197,0.5628571428571428
198,5,985,198,198,198,0.5657142857142857
199,6,27,199,199,199,0.5685714285714286
200,1,1804,200,200,200,0.5714285714285714
201,2,1760,201,201,201,0.5742857142857143
202,3,1951,202,202,202,0.5771428571428572
203,4,1058,203,203,203,0.58
204,5,1150,204,204,204,0.5828571428571429
205,6,363,205,205,205,0.5857142857142857
206,1,2765,206,206,206,0.5885714285714285
207,2,2281,207,207,207,0.5914285714285714
208,3,1064,208,208,208,0.5942857142857143
209,4,1438,209,209,209,0.5971428571428572
210,5,1698,210,210,210,0.6
211,6,122,211,211,211,0.6028571428571429
212,7,14,212,212,212,0.6057142857142858
213,1,2106,213,213,213,0.6085714285714285
214,2,1811,214,214,214,0.6114285714285714
215,3,1751,215,215,215,0.6142857142857143
216,4,1433,216,216,216,0.6171428571428571
217,5,1034,217,217,217,0.62
218,6,73,218,218,218,0.6228571428571429
219,7,26,219,219,219,0.6257142857142857
220,1,1775,220,220,220,0.6285714285714286
221,2,2032,221,221,221,0.6314285714285715
222,3,1607,222,222,222,0.6342857142857142
223,4,861,223,223,223,0.6371428571428571
224,5,1534,224,224,224,0.64
225,6,371,225,225,225,0.6428571428571429
226,1,1794,226,226,226,0.6457142857142857
227,2,1965,227,227,227,0.6485714285714286
228,3,1408,228,228,228,0.6514285714285715
229,4,1762,229,229,229,0.6542857142857142
230,5,1329,230,230,230,0.6571428571428571
231,6,188,231,231,231,0.66
232,1,2288,232,232,232,0.6628571428571428
233,2,1900,233,233,233,0.6657142857142857
234,3,2101,234,234,234,0.6685714285714286
235,4,48,235,235,235,0.6714285714285714
236,5,13,236,236,236,0.6742857142857143
237,7,2933,237,237,237,0.6771428571428572
238,1,2330,238,238,238,0.68
239,2,2483,239,239,239,0.6828571428571428
240,3,1949,240,240,240,0.6857142857142857
241,4,1898,241,241,241,0.6885714285714286
242,5,2025,242,242,242,0.6914285714285714
243,6,243,243,243,243,0.6942857142857143
244,7,2876,244,244,244,0.6971428571428572
245,1,2172,245,245,245,0.7
246,3,117,246,246,246,0.7028571428571428
247,5,17,247,247,247,0.7057142857142857
248,6,16,248,248,248,0.7085714285714285
249,7,19,249,249,249,0.7114285714285714
250,2,4723,250,250,250,0.7142857142857143
251,3,2681,251,251,251,0.7171428571428572
252,4,1876,252,252,252,0.72
253,5,1339,253,253,253,0.7228571428571429
254,6,1414,254,254,254,0.7257142857142858
255,7,19,255,255,255,0.7285714285714285
256,1,2250,256,256,256,0.7314285714285714
257,2,2669,257,257,257,0.7342857142857143
258,3,2540,258,258,258,0.7371428571428571
259,4,997,259,259,259,0.74
260,5,1808,260,260,260,0.7428571428571429
261,6,171,261,261,261,0.7457142857142857
262,1,1909,262,262,262,0.7485714285714286
263,2,2541,263,263,263,0.7514285714285714
264,3,1722,264,264,264,0.7542857142857143
265,4,1606,265,265,265,0.7571428571428571
266,5,1664,266,266,266,0.76
267,6,192,267,267,267,0.7628571428571429
268,1,2436,268,268,268,0.7657142857142857
269,2,2077,269,269,269,0.7685714285714286
270,3,1789,270,270,270,0.7714285714285715
271,4,1321,271,271,271,0.7742857142857142
272,5,1714,272,272,272,0.7771428571428571
273,6,129,273,273,273,0.78
274,1,2059,274,274,274,0.7828571428571428
275,2,1849,275,275,275,0.7857142857142857
276,3,1631,276,276,276,0.7885714285714286
277,4,1197,277,277,277,0.7914285714285715
278,5,2099,278,278,278,0.7942857142857143
279,6,206,279,279,279,0.7971428571428572
280,1,1712,280,280,280,0.8
281,2,2338,281,281,281,0.8028571428571428
282,3,2103,282,282,282,0.8057142857142857
283,4,1130,283,283,283,0.8085714285714286
284,5,1693,284,284,284,0.8114285714285714
285,6,170,285,285,285,0.8142857142857143
286,1,2057,286,286,286,0.8171428571428572
287,2,2160,287,287,287,0.82
288,3,1519,288,288,288,0.8228571428571428
289,4,1357,289,289,289,0.8257142857142857
290,5,1698,290,290,290,0.8285714285714286
291,6,192,291,291,291,0.8314285714285714
292,7,22,292,292,292,0.8342857142857143
293,1,2118,293,293,293,0.8371428571428572
294,2,2170,294,294,294,0.84
295,3,1681,295,295,295,0.8428571428571429
296,4,1454,296,296,296,0.8457142857142858
297,5,1849,297,297,297,0.8485714285714285
298,6,778,298,298,298,0.8514285714285714
299,1,2290,299,299,299,0.8542857142857143
300,2,2126,300,300,300,0.8571428571428571
301,3,2309,301,301,301,0.86
302,4,1288,302,302,302,0.8628571428571429
303,5,1654,303,303,303,0.8657142857142858
304,6,377,304,304,304,0.8685714285714285
305,1,2026,305,305,305,0.8714285714285714
306,2,2002,306,306,306,0.8742857142857143
307,3,2739,307,307,307,0.8771428571428571
308,4,1726,308,308,308,0.88
309,5,1474,309,309,309,0.8828571428571429
310,6,255,310,310,310,0.8857142857142857
311,1,2156,311,311,311,0.8885714285714286
312,2,1680,312,312,312,0.8914285714285715
313,3,1979,313,313,313,0.8942857142857142
314,4,1207,314,314,314,0.8971428571428571
315,5,1831,315,315,315,0.9
316,6,278,316,316,316,0.9028571428571428
317,1,1587,317,317,317,0.9057142857142857
318,2,1514,318,318,318,0.9085714285714286
319,3,1584,319,319,319,0.9114285714285715
320,4,1365,0,320,320,0.9142857142857143
321,5,1642,1,321,321,0.9171428571428571
322,6,205,2,322,322,0.92
323,1,1660,3,323,323,0.9228571428571428
324,2,950,4,324,324,0.9257142857142857
325,4,4254,5,325,325,0.9285714285714286
326,5,4569,6,326,326,0.9314285714285714
327,6,649,7,327,327,0.9342857142857143
328,1,5202,8,328,328,0.9371428571428572
329,2,5090,9,329,329,0.94
330,3,3488,10,330,330,0.9428571428571428
331,4,2171,11,331,331,0.9457142857142857
332,5,3075,12,332,332,0.9485714285714286
333,6,441,13,333,333,0.9514285714285714
334,1,2593,14,334,334,0.9542857142857143
335,2,2796,15,335,335,0.9571428571428572
336,3,2546,16,336,336,0.96
337,4,2706,17,337,337,0.9628571428571429
338,5,3006,18,338,338,0.9657142857142857
339,6,411,19,339,339,0.9685714285714285
340,1,3591,20,340,340,0.9714285714285714
341,2,3528,21,341,341,0.9742857142857143
342,3,3534,22,342,342,0.9771428571428571
343,4,2142,23,343,343,0.98
344,5,3887,24,344,344,0.9828571428571429
345,6,324,25,345,345,0.9857142857142858
346,7,1659,26,346,346,0.9885714285714285
347,1,4320,27,347,347,0.9914285714285714
348,2,3957,28,348,348,0.9942857142857143
349,3,1598,29,349,349,0.9971428571428571
350,4,244,30,0,350,1.0
351,3,23,31,1,351,1.002857142857143
352,4,19,32,2,352,1.0057142857142858
353,5,4061,33,3,353,1.0085714285714287
354,6,3332,34,4,0,1.0114285714285713
355,7,13,35,5,1,1.0142857142857142
356,1,3710,36,6,2,1.0171428571428571
357,2,3525,37,7,3,1.02
358,3,2282,38,8,4,1.022857142857143
359,4,1576,39,9,5,1.0257142857142858
360,5,1772,40,10,6,1.0285714285714285
361,6,272,41,11,7,1.0314285714285714
362,7,18,42,12,8,1.0342857142857143
363,1,1835,43,13,9,1.0371428571428571
364,2,1904,44,14,10,1.04
365,3,2040,45,15,11,1.042857142857143
366,4,1532,46,16,12,1.0457142857142858
367,5,1905,47,17,13,1.0485714285714285
368,6,250,48,18,14,1.0514285714285714
369,7,13,49,19,15,1.0542857142857143
370,1,2387,50,20,16,1.0571428571428572
371,2,3224,51,21,17,1.06
372,3,2471,52,22,18,1.062857142857143
373,4,1566,53,23,19,1.0657142857142856
374,5,1308,54,24,20,1.0685714285714285
375,6,305,55,25,21,1.0714285714285714
376,7,27,56,26,22,1.0742857142857143
377,1,2206,57,27,23,1.0771428571428572
378,2,2018,58,28,24,1.08
379,3,1722,59,29,25,1.082857142857143
380,4,1437,60,30,26,1.0857142857142856
381,5,1064,61,31,27,1.0885714285714285
382,6,390,62,32,28,1.0914285714285714
383,1,2065,63,33,29,1.0942857142857143
384,2,1802,64,34,30,1.0971428571428572
385,3,1693,65,35,31,1.1
386,4,1392,66,36,32,1.1028571428571428
387,5,1129,67,37,33,1.1057142857142856
388,6,239,68,38,34,1.1085714285714285
389,1,1932,69,39,35,1.1114285714285714
390,2,2848,70,40,36,1.1142857142857143
391,3,1933,71,41,37,1.1171428571428572
392,4,1124,72,42,38,1.12
393,5,1500,73,43,39,1.1228571428571428
394,6,222,74,44,40,1.1257142857142857
395,1,1582,75,45,41,1.1285714285714286
396,2,2051,76,46,42,1.1314285714285715
397,3,2954,77,47,43,1.1342857142857143
398,4,1534,78,48,44,1.1371428571428572
399,5,2473,79,49,45,1.14
400,6,139,80,50,46,1.1428571428571428
401,7,25,81,51,47,1.1457142857142857
402,1,1739,82,52,48,1.1485714285714286
403,2,1915,83,53,49,1.1514285714285715
404,3,1787,84,54,50,1.1542857142857144
405,4,1668,85,55,51,1.1571428571428573
406,5,1348,86,56,52,1.16
407,6,25,87,57,53,1.1628571428571428
408,7,22,88,58,54,1.1657142857142857
409,1,59,89,59,55,1.1685714285714286
410,2,3076,90,60,56,1.1714285714285715
411,3,2469,91,61,57,1.1742857142857144
412,4,1603,92,62,58,1.177142857142857
413,5,1460,93,63,59,1.18
414,6,182,94,64,60,1.1828571428571428
415,1,1901,95,65,61,1.1857142857142857
416,2,1870,96,66,62,1.1885714285714286
417,3,1682,97,67,63,1.1914285714285715
418,4,2176,98,68,64,1.1942857142857144
419,5,1885,99,69,65,1.197142857142857
420,6,357,100,70,66,1.2
421,7,22,101,71,67,1.2028571428571428
422,1,2070,102,72,68,1.2057142857142857
423,2,2607,103,73,69,1.2085714285714286
424,3,1803,104,74,70,1.2114285714285715
425,4,1100,105,75,71,1.2142857142857142
426,5,2248,106,76,72,1.217142857142857
427,6,230,107,77,73,1.22
428,1,1901,108,78,74,1.2228571428571429
429,2,2174,109,79,75,1.2257142857142858
430,3,1863,110,80,76,1.2285714285714286
431,5,12,111,81,77,1.2314285714285715
432,6,72,112,82,78,1.2342857142857142
433,7,2590,113,83,79,1.237142857142857
434,1,1621,114,84,80,1.24
435,2,2257,115,85,81,1.2428571428571429
436,3,2025,116,86,82,1.2457142857142858
437,4,2284,117,87,83,1.2485714285714287
438,5,1628,118,88,84,1.2514285714285713
439,6,191,119,89,85,1.2542857142857142
440,1,1599,120,90,86,1.2571428571428571
441,2,1857,121,91,87,1.26
442,3,1755,122,92,88,1.262857142857143
443,4,1230,123,93,89,1.2657142857142858
444,5,1686,124,94,90,1.2685714285714285
445,6,263,125,95,91,1.2714285714285714
446,7,18,126,96,92,1.2742857142857142
447,1,1812,127,97,93,1.2771428571428571
448,2,1841,128,98,94,1.28
449,3,1090,129,99,95,1.282857142857143
450,4,1253,130,100,96,1.2857142857142858
451,5,1545,131,101,97,1.2885714285714285
452,6,123,132,102,98,1.2914285714285714
453,1,1862,133,103,99,1.2942857142857143
454,2,1769,134,104,100,1.2971428571428572
455,3,1302,135,105,101,1.3
456,4,1201,136,106,102,1.302857142857143
457,5,2338,137,107,103,1.3057142857142856
458,6,153,138,108,104,1.3085714285714285
459,7,47,139,109,105,1.3114285714285714
460,2,2908,140,110,106,1.3142857142857143
461,3,1661,141,111,107,1.3171428571428572
462,4,1081,142,112,108,1.32
463,5,1774,143,113,109,1.322857142857143
464,6,124,144,114,110,1.3257142857142856
465,7,13,145,115,111,1.3285714285714285
466,1,1919,146,116,112,1.3314285714285714
467,2,1288,147,117,113,1.3342857142857143
468,3,1073,148,118,114,1.3371428571428572
469,4,1025,149,119,115,1.34
470,5,1383,150,120,116,1.3428571428571427
471,6,212,151,121,117,1.3457142857142856
472,1,1489,152,122,118,1.3485714285714285
473,2,1713,153,123,119,1.3514285714285714
474,3,1952,154,124,120,1.3542857142857143
475,4,1227,155,125,121,1.3571428571428572
476,5,1370,156,126,122,1.36
477,6,133,157,127,123,1.3628571428571428
478,1,1616,158,128,124,1.3657142857142857
479,2,2016,159,129,125,1.3685714285714285
480,3,2483,160,130,126,1.3714285714285714
481,4,1467,161,131,127,1.3742857142857143
482,5,2049,162,132,128,1.3771428571428572
483,6,291,163,133,129,1.38
484,1,1184,164,134,130,1.3828571428571428
485,2,2822,165,135,131,1.3857142857142857
486,3,2027,166,136,132,1.3885714285714286
487,4,1542,167,137,133,1.3914285714285715
488,5,1754,168,138,134,1.3942857142857144
489,6,107,169,139,135,1.3971428571428572
490,1,1983,170,140,136,1.4
491,2,2209,171,141,137,1.4028571428571428
492,3,1731,172,142,138,1.4057142857142857
493,4,1266,173,143,139,1.4085714285714286
494,5,1494,174,144,140,1.4114285714285715
495,6,152,175,145,141,1.4142857142857144
496,1,2065,176,146,142,1.417142857142857
497,2,2072,177,147,143,1.42
498,3,1792,178,148,144,1.4228571428571428
499,4,1512,179,149,145,1.4257142857142857
500,5,1853,180,150,146,1.4285714285714286
501,6,248,181,151,147,1.4314285714285715
502,1,1740,182,152,148,1.4342857142857144
503,2,1739,183,153,149,1.437142857142857
504,3,1495,184,154,150,1.44
505,4,1656,185,155,151,1.4428571428571428
506,5,1244,186,156,152,1.4457142857142857
507,6,41,187,157,153,1.4485714285714286
508,1,1755,188,158,154,1.4514285714285715
509,2,1749,189,159,155,1.4542857142857142
510,3,1313,190,160,156,1.457142857142857
511,4,1175,191,161,157,1.46
512,5,1391,192,162,158,1.4628571428571429
513,6,248,193,163,159,1.4657142857142857
514,1,2022,194,164,160,1.4685714285714286
515,2,2787,195,165,161,1.4714285714285715
516,3,1658,196,166,162,1.4742857142857142
517,4,1023,197,167,163,1.477142857142857
518,5,1545,198,168,164,1.48
519,6,207,199,169,165,1.4828571428571429
520,1,2076,200,170,166,1.4857142857142858
521,2,1416,201,171,167,1.4885714285714287
522,3,1421,202,172,168,1.4914285714285713
523,4,1130,203,173,169,1.4942857142857142
524,5,1377,204,174,170,1.497142857142857
525,6,248,205,175,171,1.5
526,1,1867,206,176,172,1.502857142857143
527,2,1941,207,177,173,1.5057142857142858
528,3,1707,208,178,174,1.5085714285714287
529,4,1510,209,179,175,1.5114285714285713
530,5,1065,210,180,176,1.5142857142857142
531,6,305,211,181,177,1.5171428571428571
532,7,13,212,182,178,1.52
533,1,1824,213,183,179,1.522857142857143
534,2,2049,214,184,180,1.5257142857142858
535,3,1371,215,185,181,1.5285714285714285
536,4,1299,216,186,182,1.5314285714285714
537,5,1752,217,187,183,1.5342857142857143
538,6,212,218,188,184,1.5371428571428571
539,1,2764,219,189,185,1.54
540,2,2466,220,190,186,1.542857142857143
541,3,2079,221,191,187,1.5457142857142858
542,4,1471,222,192,188,1.5485714285714285
543,5,2344,223,193,189,1.5514285714285714
544,6,218,224,194,190,1.5542857142857143
545,2,4044,225,195,191,1.5571428571428572
546,3,2265,226,196,192,1.56
547,4,1602,227,197,193,1.562857142857143
548,5,2033,228,198,194,1.5657142857142856
549,6,317,229,199,195,1.5685714285714285
550,1,2209,230,200,196,1.5714285714285714
551,2,2231,231,201,197,1.5742857142857143
552,3,1190,232,202,198,1.5771428571428572
553,4,1413,233,203,199,1.58
554,5,2097,234,204,200,1.582857142857143
555,6,205,235,205,201,1.5857142857142856
556,1,2156,236,206,202,1.5885714285714285
557,2,2219,237,207,203,1.5914285714285714
558,3,1801,238,208,204,1.5942857142857143
559,4,1657,239,209,205,1.5971428571428572
560,5,2965,240,210,206,1.6
561,6,382,241,211,207,1.6028571428571428
562,7,1268,242,212,208,1.6057142857142856
563,1,2915,243,213,209,1.6085714285714285
564,2,3137,244,214,210,1.6114285714285714
565,3,132,245,215,211,1.6142857142857143
566,1,52,246,216,212,1.6171428571428572
567,2,15,247,217,213,1.62
568,3,4783,248,218,214,1.6228571428571428
569,4,2396,249,219,215,1.6257142857142857
570,5,2454,250,220,216,1.6285714285714286
571,6,1964,251,221,217,1.6314285714285715
572,7,35,252,222,218,1.6342857142857143
573,1,3096,253,223,219,1.6371428571428572
574,2,2441,254,224,220,1.64
575,3,2282,255,225,221,1.6428571428571428
576,4,1467,256,226,222,1.6457142857142857
577,5,1432,257,227,223,1.6485714285714286
578,6,193,258,228,224,1.6514285714285715
579,1,1792,259,229,225,1.6542857142857144
580,2,2085,260,230,226,1.6571428571428573
581,3,1967,261,231,227,1.66
582,4,1312,262,232,228,1.6628571428571428
583,5,1381,263,233,229,1.6657142857142857
584,6,218,264,234,230,1.6685714285714286
585,1,1993,265,235,231,1.6714285714285715
586,2,2389,266,236,232,1.6742857142857144
587,3,2061,267,237,233,1.677142857142857
588,4,2394,268,238,234,1.68
589,5,1579,269,239,235,1.6828571428571428
590,6,15,270,240,236,1.6857142857142857
591,1,2136,271,241,237,1.6885714285714286
592,2,1946,272,242,238,1.6914285714285715
593,3,1762,273,243,239,1.6942857142857144
594,4,1342,274,244,240,1.697142857142857
595,5,1718,275,245,241,1.7
596,6,256,276,246,242,1.7028571428571428
597,1,2041,277,247,243,1.7057142857142857
598,2,1692,278,248,244,1.7085714285714286
599,3,1867,279,249,245,1.7114285714285715
600,4,1085,280,250,246,1.7142857142857142
601,5,1932,281,251,247,1.717142857142857
602,6,245,282,252,248,1.72
603,7,22,283,253,249,1.7228571428571429
604,1,2175,284,254,250,1.7257142857142858
605,2,2356,285,255,251,1.7285714285714286
606,3,1869,286,256,252,1.7314285714285715
607,4,1468,287,257,253,1.7342857142857142
608,5,1756,288,258,254,1.737142857142857
609,6,246,289,259,255,1.74
610,1,1863,290,260,256,1.7428571428571429
611,2,2242,291,261,257,1.7457142857142858
612,3,1585,292,262,258,1.7485714285714287
613,4,1243,293,263,259,1.7514285714285713
614,5,1409,294,264,260,1.7542857142857142
615,6,344,295,265,261,1.7571428571428571
616,1,2294,296,266,262,1.76
617,2,1778,297,267,263,1.762857142857143
618,3,1755,298,268,264,1.7657142857142858
619,4,1641,299,269,265,1.7685714285714285
620,5,1459,300,270,266,1.7714285714285714
621,6,261,301,271,267,1.7742857142857142
622,1,2024,302,272,268,1.7771428571428571
623,2,2490,303,273,269,1.78
624,3,1504,304,274,270,1.782857142857143
625,4,1695,305,275,271,1.7857142857142858
626,5,1706,306,276,272,1.7885714285714285
627,6,138,307,277,273,1.7914285714285714
628,1,2113,308,278,274,1.7942857142857143
629,2,2036,309,279,275,1.7971428571428572
630,3,1729,310,280,276,1.8
631,4,1332,311,281,277,1.802857142857143
632,5,1977,312,282,278,1.8057142857142856
633,6,186,313,283,279,1.8085714285714285
634,1,1593,314,284,280,1.8114285714285714
635,2,3091,315,285,281,1.8142857142857143
636,3,1960,316,286,282,1.8171428571428572
637,4,769,317,287,283,1.82
638,5,1844,318,288,284,1.822857142857143
639,6,140,319,289,285,1.8257142857142856
640,7,25,0,290,286,1.8285714285714285
641,1,2167,1,291,287,1.8314285714285714
642,2,1292,2,292,288,1.8342857142857143
643,3,1278,3,293,289,1.8371428571428572
644,4,75,4,294,290,1.84
645,7,7063,5,295,291,1.8428571428571427
646,1,5804,6,296,292,1.8457142857142856
647,2,7226,7,297,293,1.8485714285714285
648,3,3616,8,298,294,1.8514285714285714
649,4,5742,9,299,295,1.8542857142857143
650,5,4501,10,300,296,1.8571428571428572
651,6,796,11,301,297,1.86
652,1,4259,12,302,298,1.8628571428571428
653,2,3472,13,303,299,1.8657142857142857
654,3,2482,14,304,300,1.8685714285714285
655,4,2722,15,305,301,1.8714285714285714
656,5,2869,16,306,302,1.8742857142857143
657,6,448,17,307,303,1.8771428571428572
658,7,24,18,308,304,1.88
659,1,3425,19,309,305,1.8828571428571428
660,2,2794,20,310,306,1.8857142857142857
661,3,2954,21,311,307,1.8885714285714286
662,4,2501,22,312,308,1.8914285714285715
663,5,2883,23,313,309,1.8942857142857144
