r_date,date,day_of_week
2016-08-12,1164.0,2.0
2016-08-13,1165.0,3.0
2016-08-14,1166.0,4.0
2016-08-15,1167.0,5.0
2016-08-16,1168.0,6.0
2016-08-18,1169.0,1.0
2016-08-19,1170.0,2.0
2016-08-20,1171.0,3.0
2016-08-21,1172.0,4.0
2016-08-22,1173.0,6.0
2016-08-23,1174.0,7.0
2016-08-24,1175.0,1.0
2016-08-25,1176.0,2.0
2016-08-26,1177.0,3.0
2016-08-27,1178.0,4.0
2016-08-28,1179.0,5.0
2016-08-29,1180.0,6.0
2016-08-31,1181.0,1.0
2016-09-01,1182.0,2.0
2016-09-02,1183.0,3.0
2016-09-03,1184.0,4.0
2016-09-04,1185.0,5.0
2016-09-09,1186.0,3.0
2016-09-10,1187.0,4.0
2016-09-11,1188.0,5.0
2016-09-12,1189.0,6.0
2016-09-13,1190.0,7.0
2016-09-14,1191.0,1.0
2016-09-15,1192.0,2.0
2016-09-16,1193.0,3.0
2016-09-17,1194.0,4.0
2016-09-18,1195.0,5.0
2016-09-19,1196.0,6.0
2016-09-20,1197.0,7.0
2016-09-21,1198.0,1.0
2016-09-22,1199.0,2.0
2016-09-23,1200.0,3.0
2016-09-24,1201.0,4.0
2016-09-25,1202.0,5.0
2016-09-26,1203.0,6.0
2016-09-27,1204.0,7.0
2016-09-28,1205.0,1.0
2016-09-29,1206.0,2.0
2016-09-30,1207.0,3.0
2016-10-01,1208.0,4.0
2016-10-02,1209.0,5.0
2016-10-03,1210.0,6.0
2016-10-05,1211.0,1.0
2016-10-06,1212.0,2.0
2016-10-07,1213.0,3.0
2016-10-08,1214.0,4.0
2016-10-09,1215.0,5.0
2016-10-10,1216.0,6.0
2016-10-11,1217.0,7.0
2016-10-12,1218.0,1.0
2016-10-13,1219.0,2.0
2016-10-14,1220.0,3.0
2016-10-15,1221.0,4.0
2016-10-16,1222.0,5.0
2016-10-17,1223.0,6.0
2016-10-18,1224.0,7.0
2016-10-19,1225.0,1.0
2016-10-20,1226.0,2.0
2016-10-21,1227.0,3.0
2016-10-22,1228.0,4.0
2016-10-23,1229.0,5.0
2016-10-24,1230.0,6.0
2016-10-26,1231.0,1.0
2016-10-27,1232.0,2.0
2016-10-28,1233.0,3.0
2016-10-29,1234.0,4.0
2016-10-30,1235.0,5.0
2016-10-31,1236.0,6.0
2016-11-01,1237.0,7.0
2016-11-02,1238.0,1.0
2016-11-03,1239.0,2.0
2016-11-04,1240.0,3.0
2016-11-05,1241.0,4.0
2016-11-06,1242.0,5.0
2016-11-07,1243.0,6.0
2016-11-08,1244.0,7.0
2016-11-09,1245.0,1.0
2016-11-10,1246.0,2.0
2016-11-11,1247.0,3.0
2016-11-12,1248.0,4.0
2016-11-13,1249.0,5.0
2016-11-14,1250.0,6.0
2016-11-16,1251.0,1.0
2016-11-17,1252.0,2.0
2016-11-18,1253.0,3.0
2016-11-19,1254.0,4.0
2016-11-20,1255.0,5.0
2016-11-21,1256.0,6.0
2016-11-23,1257.0,1.0
2016-11-24,1258.0,2.0
2016-11-25,1259.0,3.0
2016-11-26,1260.0,4.0
2016-11-27,1261.0,5.0
2016-11-28,1262.0,6.0
2016-11-30,1263.0,1.0
2016-12-01,1264.0,2.0
2016-12-02,1265.0,3.0
2016-12-03,1266.0,4.0
2016-12-04,1267.0,5.0
2016-12-05,1268.0,6.0
2016-12-06,1269.0,7.0
2016-12-07,1270.0,1.0
2016-12-08,1271.0,2.0
2016-12-09,1272.0,3.0
2016-12-10,1273.0,4.0
2016-12-11,1274.0,5.0
2016-12-12,1275.0,6.0
2016-12-13,1276.0,7.0
2016-12-14,1277.0,1.0
2016-12-15,1278.0,2.0
2016-12-16,1279.0,3.0
2016-12-17,1280.0,4.0
2016-12-18,1281.0,5.0
2016-12-19,1282.0,6.0
2016-12-21,1283.0,1.0
2016-12-22,1284.0,2.0
2016-12-23,1285.0,3.0
2016-12-24,1286.0,4.0
2016-12-25,1287.0,5.0
2016-12-26,1288.0,6.0
2016-12-27,1289.0,7.0
2016-12-28,1290.0,1.0
2016-12-29,1291.0,2.0
2016-12-30,1292.0,3.0
2016-12-31,1293.0,4.0
2017-01-07,1294.0,4.0
2017-01-08,1295.0,5.0
2017-01-09,1296.0,6.0
2017-01-10,1297.0,7.0
2017-01-11,1298.0,1.0
2017-01-12,1299.0,2.0
2017-01-13,1300.0,3.0
2017-01-14,1301.0,4.0
2017-01-15,1302.0,5.0
2017-01-16,1303.0,6.0
2017-01-18,1304.0,1.0
2017-01-19,1305.0,2.0
2017-01-20,1306.0,3.0
2017-01-21,1307.0,4.0
