r_date,date,day_of_week,month,year,day
2017-05-15,1412.0,6.0,5,2017,15
2017-05-16,1413.0,7.0,5,2017,16
2017-05-17,1414.0,1.0,5,2017,17
2017-05-18,1415.0,2.0,5,2017,18
2017-05-19,1416.0,3.0,5,2017,19
2017-05-20,1417.0,4.0,5,2017,20
2017-05-21,1418.0,5.0,5,2017,21
2017-05-22,1419.0,6.0,5,2017,22
2017-05-23,1420.0,7.0,5,2017,23
2017-05-24,1421.0,1.0,5,2017,24
2017-05-25,1422.0,2.0,5,2017,25
2017-05-26,1423.0,3.0,5,2017,26
2017-05-27,1424.0,4.0,5,2017,27
2017-05-28,1425.0,5.0,5,2017,28
2017-05-29,1426.0,6.0,5,2017,29
2017-05-30,1427.0,7.0,5,2017,30
2017-05-31,1428.0,1.0,5,2017,31
2017-06-01,1429.0,2.0,6,2017,1
2017-06-02,1430.0,3.0,6,2017,2
2017-06-03,1431.0,4.0,6,2017,3
2017-06-04,1432.0,5.0,6,2017,4
2017-06-05,1433.0,6.0,6,2017,5
2017-06-06,1434.0,7.0,6,2017,6
2017-06-07,1435.0,1.0,6,2017,7
2017-06-08,1436.0,2.0,6,2017,8
2017-06-09,1437.0,3.0,6,2017,9
2017-06-10,1438.0,4.0,6,2017,10
2017-06-11,1439.0,5.0,6,2017,11
2017-06-12,1440.0,6.0,6,2017,12
2017-06-13,1441.0,7.0,6,2017,13
2017-06-14,1442.0,1.0,6,2017,14
2017-06-15,1443.0,2.0,6,2017,15
2017-06-16,1444.0,3.0,6,2017,16
2017-06-17,1445.0,4.0,6,2017,17
2017-06-18,1446.0,5.0,6,2017,18
2017-06-19,1447.0,6.0,6,2017,19
2017-06-20,1448.0,7.0,6,2017,20
2017-06-21,1449.0,1.0,6,2017,21
2017-06-22,1450.0,2.0,6,2017,22
2017-06-23,1451.0,3.0,6,2017,23
2017-06-24,1452.0,4.0,6,2017,24
2017-06-25,1453.0,5.0,6,2017,25
2017-06-26,1454.0,6.0,6,2017,26
2017-06-27,1455.0,7.0,6,2017,27
2017-06-28,1456.0,1.0,6,2017,28
2017-06-29,1457.0,2.0,6,2017,29
2017-06-30,1458.0,3.0,6,2017,30
2017-07-01,1459.0,4.0,7,2017,1
2017-07-02,1460.0,5.0,7,2017,2
2017-07-03,1461.0,6.0,7,2017,3
2017-07-04,1462.0,7.0,7,2017,4
2017-07-05,1463.0,1.0,7,2017,5
2017-07-06,1464.0,2.0,7,2017,6
2017-07-07,1465.0,3.0,7,2017,7
2017-07-08,1466.0,4.0,7,2017,8
2017-07-09,1467.0,5.0,7,2017,9
2017-07-10,1468.0,6.0,7,2017,10
2017-07-11,1469.0,7.0,7,2017,11
2017-07-12,1470.0,1.0,7,2017,12
2017-07-13,1471.0,2.0,7,2017,13
2017-07-14,1472.0,3.0,7,2017,14
2017-07-15,1473.0,4.0,7,2017,15
2017-07-16,1474.0,5.0,7,2017,16
2017-07-17,1475.0,6.0,7,2017,17
2017-07-18,1476.0,7.0,7,2017,18
2017-07-19,1477.0,1.0,7,2017,19
2017-07-20,1478.0,2.0,7,2017,20
2017-07-21,1479.0,3.0,7,2017,21
2017-07-22,1480.0,4.0,7,2017,22
2017-07-23,1481.0,5.0,7,2017,23
2017-07-24,1482.0,6.0,7,2017,24
2017-07-25,1483.0,7.0,7,2017,25
2017-07-26,1484.0,1.0,7,2017,26
2017-07-27,1485.0,2.0,7,2017,27
2017-07-28,1486.0,3.0,7,2017,28
2017-07-29,1487.0,4.0,7,2017,29
2017-07-30,1488.0,5.0,7,2017,30
2017-07-31,1489.0,6.0,7,2017,31
2017-08-01,1490.0,7.0,8,2017,1
2017-08-02,1491.0,1.0,8,2017,2
2017-08-03,1492.0,2.0,8,2017,3
2017-08-04,1493.0,3.0,8,2017,4
2017-08-05,1494.0,4.0,8,2017,5
2017-08-06,1495.0,5.0,8,2017,6
2017-08-07,1496.0,7.0,8,2017,7
2017-08-08,1497.0,1.0,8,2017,8
2017-08-09,1498.0,2.0,8,2017,9
2017-08-10,1499.0,3.0,8,2017,10
2017-08-11,1500.0,4.0,8,2017,11
2017-08-12,1501.0,5.0,8,2017,12
2017-08-13,1502.0,6.0,8,2017,13
2017-08-14,1503.0,7.0,8,2017,14
2017-08-15,1504.0,1.0,8,2017,15
2017-08-16,1505.0,2.0,8,2017,16
2017-08-17,1506.0,3.0,8,2017,17
2017-08-18,1507.0,4.0,8,2017,18
2017-08-19,1508.0,5.0,8,2017,19
2017-08-20,1509.0,6.0,8,2017,20
2017-08-21,1510.0,7.0,8,2017,21
2017-08-22,1511.0,1.0,8,2017,22
2017-08-23,1512.0,2.0,8,2017,23
2017-08-24,1513.0,3.0,8,2017,24
2017-08-25,1514.0,4.0,8,2017,25
2017-08-26,1515.0,5.0,8,2017,26
2017-08-27,1516.0,6.0,8,2017,27
2017-08-29,1517.0,1.0,8,2017,29
2017-08-30,1518.0,2.0,8,2017,30
2017-08-31,1519.0,3.0,8,2017,31
2017-09-01,1520.0,4.0,9,2017,1
2017-09-02,1521.0,5.0,9,2017,2
2017-09-03,1522.0,6.0,9,2017,3
2017-09-06,1523.0,2.0,9,2017,6
2017-09-07,1524.0,3.0,9,2017,7
2017-09-08,1525.0,4.0,9,2017,8
2017-09-09,1526.0,5.0,9,2017,9
2017-09-10,1527.0,6.0,9,2017,10
2017-09-11,1528.0,7.0,9,2017,11
2017-09-12,1529.0,1.0,9,2017,12
2017-09-13,1530.0,2.0,9,2017,13
2017-09-14,1531.0,3.0,9,2017,14
2017-09-15,1532.0,4.0,9,2017,15
2017-09-16,1533.0,5.0,9,2017,16
2017-09-17,1534.0,6.0,9,2017,17
2017-09-18,1535.0,7.0,9,2017,18
2017-09-19,1536.0,1.0,9,2017,19
2017-09-20,1537.0,2.0,9,2017,20
2017-09-21,1538.0,3.0,9,2017,21
2017-09-22,1539.0,4.0,9,2017,22
2017-09-23,1540.0,5.0,9,2017,23
2017-09-24,1541.0,6.0,9,2017,24
2017-09-25,1542.0,7.0,9,2017,25
2017-09-26,1543.0,1.0,9,2017,26
2017-09-27,1544.0,2.0,9,2017,27
2017-09-28,1545.0,3.0,9,2017,28
2017-09-29,1546.0,4.0,9,2017,29
2017-09-30,1547.0,5.0,9,2017,30
2017-10-01,1548.0,6.0,10,2017,1
2017-10-02,1549.0,7.0,10,2017,2
2017-10-03,1550.0,1.0,10,2017,3
2017-10-04,1551.0,2.0,10,2017,4
2017-10-05,1552.0,3.0,10,2017,5
2017-10-06,1553.0,4.0,10,2017,6
2017-10-07,1554.0,5.0,10,2017,7
2017-10-08,1555.0,6.0,10,2017,8
2017-10-09,1556.0,7.0,10,2017,9
2017-10-10,1557.0,1.0,10,2017,10
2017-10-11,1558.0,2.0,10,2017,11
2017-10-12,1559.0,3.0,10,2017,12
2017-10-13,1560.0,4.0,10,2017,13
2017-10-14,1561.0,5.0,10,2017,14
2017-10-15,1562.0,6.0,10,2017,15
2017-10-16,1563.0,7.0,10,2017,16
2017-10-17,1564.0,1.0,10,2017,17
2017-10-18,1565.0,2.0,10,2017,18
2017-10-19,1566.0,3.0,10,2017,19
2017-10-20,1567.0,4.0,10,2017,20
2017-10-21,1568.0,5.0,10,2017,21
2017-10-22,1569.0,6.0,10,2017,22
2017-10-23,1570.0,7.0,10,2017,23
2017-10-24,1571.0,1.0,10,2017,24
2017-10-25,1572.0,2.0,10,2017,25
2017-10-26,1573.0,3.0,10,2017,26
2017-10-27,1574.0,4.0,10,2017,27
2017-10-28,1575.0,5.0,10,2017,28
2017-10-29,1576.0,6.0,10,2017,29
2017-10-30,1577.0,7.0,10,2017,30
2017-10-31,1578.0,1.0,10,2017,31
2017-11-01,1579.0,2.0,11,2017,1
