r_date,date,day_of_week,month,year,day,cnt
2016-11-05,1241.0,4.0,11,2016,5,1696
2016-11-06,1242.0,5.0,11,2016,6,2526
2016-11-07,1243.0,6.0,11,2016,7,878
2016-11-08,1244.0,7.0,11,2016,8,15
2016-11-09,1245.0,1.0,11,2016,9,3043
2016-11-10,1246.0,2.0,11,2016,10,5294
2016-11-11,1247.0,3.0,11,2016,11,3399
2016-11-12,1248.0,4.0,11,2016,12,2758
2016-11-13,1249.0,5.0,11,2016,13,2627
2016-11-14,1250.0,6.0,11,2016,14,1031
2016-11-16,1251.0,1.0,11,2016,16,3007
2016-11-17,1252.0,2.0,11,2016,17,3357
2016-11-18,1253.0,3.0,11,2016,18,2527
2016-11-19,1254.0,4.0,11,2016,19,2601
2016-11-20,1255.0,5.0,11,2016,20,3821
2016-11-21,1256.0,6.0,11,2016,21,556
2016-11-23,1257.0,1.0,11,2016,23,3637
2016-11-24,1258.0,2.0,11,2016,24,3739
2016-11-25,1259.0,3.0,11,2016,25,2787
2016-11-26,1260.0,4.0,11,2016,26,2710
2016-11-27,1261.0,5.0,11,2016,27,2621
2016-11-28,1262.0,6.0,11,2016,28,993
2016-11-30,1263.0,1.0,11,2016,30,3161
2016-12-01,1264.0,2.0,12,2016,1,2669
2016-12-02,1265.0,3.0,12,2016,2,3521
2016-12-03,1266.0,4.0,12,2016,3,1946
2016-12-04,1267.0,5.0,12,2016,4,1168
2016-12-05,1268.0,6.0,12,2016,5,29
2016-12-06,1269.0,7.0,12,2016,6,44
2016-12-07,1270.0,1.0,12,2016,7,230
2016-12-08,1271.0,2.0,12,2016,8,7389
2016-12-09,1272.0,3.0,12,2016,9,4861
2016-12-10,1273.0,4.0,12,2016,10,3659
2016-12-11,1274.0,5.0,12,2016,11,4170
2016-12-12,1275.0,6.0,12,2016,12,1793
2016-12-13,1276.0,7.0,12,2016,13,25
2016-12-14,1277.0,1.0,12,2016,14,3136
2016-12-15,1278.0,2.0,12,2016,15,3440
2016-12-16,1279.0,3.0,12,2016,16,3265
2016-12-17,1280.0,4.0,12,2016,17,1850
2016-12-18,1281.0,5.0,12,2016,18,2047
2016-12-19,1282.0,6.0,12,2016,19,682
2016-12-21,1283.0,1.0,12,2016,21,2141
2016-12-22,1284.0,2.0,12,2016,22,2475
2016-12-23,1285.0,3.0,12,2016,23,2695
2016-12-24,1286.0,4.0,12,2016,24,1495
2016-12-25,1287.0,5.0,12,2016,25,2341
2016-12-26,1288.0,6.0,12,2016,26,371
2016-12-27,1289.0,7.0,12,2016,27,1438
2016-12-28,1290.0,1.0,12,2016,28,3799
2016-12-29,1291.0,2.0,12,2016,29,3600
2016-12-30,1292.0,3.0,12,2016,30,2710
2016-12-31,1293.0,4.0,12,2016,31,660
2017-01-07,1294.0,4.0,1,2017,7,40
2017-01-08,1295.0,5.0,1,2017,8,2517
2017-01-09,1296.0,6.0,1,2017,9,4163
2017-01-10,1297.0,7.0,1,2017,10,96
2017-01-11,1298.0,1.0,1,2017,11,3605
2017-01-12,1299.0,2.0,1,2017,12,2784
2017-01-13,1300.0,3.0,1,2017,13,2493
2017-01-14,1301.0,4.0,1,2017,14,1835
2017-01-15,1302.0,5.0,1,2017,15,1680
2017-01-16,1303.0,6.0,1,2017,16,780
2017-01-18,1304.0,1.0,1,2017,18,1413
2017-01-19,1305.0,2.0,1,2017,19,2363
2017-01-20,1306.0,3.0,1,2017,20,1691
2017-01-21,1307.0,4.0,1,2017,21,1433
