0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,cnt,date,day_of_week
1.0,13.0,2.0,1.0,2013.0,15.0,169.0,26.0,13.0,26169.0,195.0,4.0,2.0,4026.0,30.0,1.0,2013.0,15.0,4052169.0,30195.0,225.0,2386.0,13.0,2.0
1.0,14.0,3.0,1.0,2013.0,16.0,196.0,42.0,14.0,28182.0,224.0,9.0,3.0,6039.0,48.0,1.0,2013.0,16.0,4052169.0,32208.0,256.0,1901.0,14.0,3.0
1.0,15.0,4.0,1.0,2013.0,17.0,225.0,60.0,15.0,30195.0,255.0,16.0,4.0,8052.0,68.0,1.0,2013.0,17.0,4052169.0,34221.0,289.0,6072.0,15.0,4.0
1.0,16.0,5.0,1.0,2013.0,18.0,256.0,80.0,16.0,32208.0,288.0,25.0,5.0,10065.0,90.0,1.0,2013.0,18.0,4052169.0,36234.0,324.0,2716.0,16.0,5.0
1.0,17.0,6.0,1.0,2013.0,19.0,289.0,102.0,17.0,34221.0,323.0,36.0,6.0,12078.0,114.0,1.0,2013.0,19.0,4052169.0,38247.0,361.0,216.0,17.0,6.0
1.0,18.0,7.0,1.0,2013.0,20.0,324.0,126.0,18.0,36234.0,360.0,49.0,7.0,14091.0,140.0,1.0,2013.0,20.0,4052169.0,40260.0,400.0,22.0,18.0,7.0
1.0,19.0,1.0,1.0,2013.0,21.0,361.0,19.0,19.0,38247.0,399.0,1.0,1.0,2013.0,21.0,1.0,2013.0,21.0,4052169.0,42273.0,441.0,3903.0,19.0,1.0
1.0,20.0,2.0,1.0,2013.0,22.0,400.0,40.0,20.0,40260.0,440.0,4.0,2.0,4026.0,44.0,1.0,2013.0,22.0,4052169.0,44286.0,484.0,2700.0,20.0,2.0
1.0,21.0,3.0,1.0,2013.0,23.0,441.0,63.0,21.0,42273.0,483.0,9.0,3.0,6039.0,69.0,1.0,2013.0,23.0,4052169.0,46299.0,529.0,2700.0,21.0,3.0
1.0,22.0,4.0,1.0,2013.0,24.0,484.0,88.0,22.0,44286.0,528.0,16.0,4.0,8052.0,96.0,1.0,2013.0,24.0,4052169.0,48312.0,576.0,2073.0,22.0,4.0
1.0,23.0,5.0,1.0,2013.0,25.0,529.0,115.0,23.0,46299.0,575.0,25.0,5.0,10065.0,125.0,1.0,2013.0,25.0,4052169.0,50325.0,625.0,1702.0,23.0,5.0
1.0,24.0,6.0,1.0,2013.0,26.0,576.0,144.0,24.0,48312.0,624.0,36.0,6.0,12078.0,156.0,1.0,2013.0,26.0,4052169.0,52338.0,676.0,231.0,24.0,6.0
1.0,25.0,1.0,1.0,2013.0,28.0,625.0,25.0,25.0,50325.0,700.0,1.0,1.0,2013.0,28.0,1.0,2013.0,28.0,4052169.0,56364.0,784.0,3377.0,25.0,1.0
1.0,26.0,2.0,1.0,2013.0,29.0,676.0,52.0,26.0,52338.0,754.0,4.0,2.0,4026.0,58.0,1.0,2013.0,29.0,4052169.0,58377.0,841.0,3016.0,26.0,2.0
1.0,27.0,3.0,1.0,2013.0,30.0,729.0,81.0,27.0,54351.0,810.0,9.0,3.0,6039.0,90.0,1.0,2013.0,30.0,4052169.0,60390.0,900.0,2586.0,27.0,3.0
1.0,28.0,4.0,1.0,2013.0,31.0,784.0,112.0,28.0,56364.0,868.0,16.0,4.0,8052.0,124.0,1.0,2013.0,31.0,4052169.0,62403.0,961.0,1652.0,28.0,4.0
1.0,29.0,5.0,2.0,2013.0,1.0,841.0,145.0,58.0,58377.0,29.0,25.0,10.0,10065.0,5.0,4.0,4026.0,2.0,4052169.0,2013.0,1.0,2726.0,29.0,5.0
1.0,30.0,6.0,2.0,2013.0,2.0,900.0,180.0,60.0,60390.0,60.0,36.0,12.0,12078.0,12.0,4.0,4026.0,4.0,4052169.0,4026.0,4.0,279.0,30.0,6.0
1.0,31.0,7.0,2.0,2013.0,3.0,961.0,217.0,62.0,62403.0,93.0,49.0,14.0,14091.0,21.0,4.0,4026.0,6.0,4052169.0,6039.0,9.0,23.0,31.0,7.0
1.0,32.0,1.0,2.0,2013.0,4.0,1024.0,32.0,64.0,64416.0,128.0,1.0,2.0,2013.0,4.0,4.0,4026.0,8.0,4052169.0,8052.0,16.0,4094.0,32.0,1.0
1.0,33.0,2.0,2.0,2013.0,5.0,1089.0,66.0,66.0,66429.0,165.0,4.0,4.0,4026.0,10.0,4.0,4026.0,10.0,4052169.0,10065.0,25.0,4059.0,33.0,2.0
1.0,34.0,3.0,2.0,2013.0,6.0,1156.0,102.0,68.0,68442.0,204.0,9.0,6.0,6039.0,18.0,4.0,4026.0,12.0,4052169.0,12078.0,36.0,3741.0,34.0,3.0
1.0,35.0,4.0,2.0,2013.0,7.0,1225.0,140.0,70.0,70455.0,245.0,16.0,8.0,8052.0,28.0,4.0,4026.0,14.0,4052169.0,14091.0,49.0,2567.0,35.0,4.0
1.0,36.0,5.0,2.0,2013.0,8.0,1296.0,180.0,72.0,72468.0,288.0,25.0,10.0,10065.0,40.0,4.0,4026.0,16.0,4052169.0,16104.0,64.0,761.0,36.0,5.0
1.0,37.0,4.0,2.0,2013.0,14.0,1369.0,148.0,74.0,74481.0,518.0,16.0,8.0,8052.0,56.0,4.0,4026.0,28.0,4052169.0,28182.0,196.0,19.0,37.0,4.0
1.0,38.0,5.0,2.0,2013.0,15.0,1444.0,190.0,76.0,76494.0,570.0,25.0,10.0,10065.0,75.0,4.0,4026.0,30.0,4052169.0,30195.0,225.0,13.0,38.0,5.0
1.0,39.0,6.0,2.0,2013.0,16.0,1521.0,234.0,78.0,78507.0,624.0,36.0,12.0,12078.0,96.0,4.0,4026.0,32.0,4052169.0,32208.0,256.0,2847.0,39.0,6.0
1.0,40.0,7.0,2.0,2013.0,17.0,1600.0,280.0,80.0,80520.0,680.0,49.0,14.0,14091.0,119.0,4.0,4026.0,34.0,4052169.0,34221.0,289.0,2936.0,40.0,7.0
1.0,41.0,1.0,2.0,2013.0,18.0,1681.0,41.0,82.0,82533.0,738.0,1.0,2.0,2013.0,18.0,4.0,4026.0,36.0,4052169.0,36234.0,324.0,2377.0,41.0,1.0
1.0,42.0,2.0,2.0,2013.0,19.0,1764.0,84.0,84.0,84546.0,798.0,4.0,4.0,4026.0,38.0,4.0,4026.0,38.0,4052169.0,38247.0,361.0,1740.0,42.0,2.0
1.0,43.0,3.0,2.0,2013.0,20.0,1849.0,129.0,86.0,86559.0,860.0,9.0,6.0,6039.0,60.0,4.0,4026.0,40.0,4052169.0,40260.0,400.0,2563.0,43.0,3.0
1.0,44.0,4.0,2.0,2013.0,21.0,1936.0,176.0,88.0,88572.0,924.0,16.0,8.0,8052.0,84.0,4.0,4026.0,42.0,4052169.0,42273.0,441.0,1896.0,44.0,4.0
1.0,45.0,5.0,2.0,2013.0,22.0,2025.0,225.0,90.0,90585.0,990.0,25.0,10.0,10065.0,110.0,4.0,4026.0,44.0,4052169.0,44286.0,484.0,1552.0,45.0,5.0
1.0,46.0,6.0,2.0,2013.0,23.0,2116.0,276.0,92.0,92598.0,1058.0,36.0,12.0,12078.0,138.0,4.0,4026.0,46.0,4052169.0,46299.0,529.0,186.0,46.0,6.0
1.0,47.0,1.0,2.0,2013.0,25.0,2209.0,47.0,94.0,94611.0,1175.0,1.0,2.0,2013.0,25.0,4.0,4026.0,50.0,4052169.0,50325.0,625.0,1874.0,47.0,1.0
1.0,48.0,2.0,2.0,2013.0,26.0,2304.0,96.0,96.0,96624.0,1248.0,4.0,4.0,4026.0,52.0,4.0,4026.0,52.0,4052169.0,52338.0,676.0,1844.0,48.0,2.0
1.0,49.0,3.0,2.0,2013.0,27.0,2401.0,147.0,98.0,98637.0,1323.0,9.0,6.0,6039.0,81.0,4.0,4026.0,54.0,4052169.0,54351.0,729.0,1919.0,49.0,3.0
1.0,50.0,4.0,2.0,2013.0,28.0,2500.0,200.0,100.0,100650.0,1400.0,16.0,8.0,8052.0,112.0,4.0,4026.0,56.0,4052169.0,56364.0,784.0,1191.0,50.0,4.0
1.0,51.0,5.0,3.0,2013.0,1.0,2601.0,255.0,153.0,102663.0,51.0,25.0,15.0,10065.0,5.0,9.0,6039.0,3.0,4052169.0,2013.0,1.0,1816.0,51.0,5.0
1.0,52.0,6.0,3.0,2013.0,2.0,2704.0,312.0,156.0,104676.0,104.0,36.0,18.0,12078.0,12.0,9.0,6039.0,6.0,4052169.0,4026.0,4.0,87.0,52.0,6.0
1.0,53.0,1.0,3.0,2013.0,4.0,2809.0,53.0,159.0,106689.0,212.0,1.0,3.0,2013.0,4.0,9.0,6039.0,12.0,4052169.0,8052.0,16.0,1843.0,53.0,1.0
1.0,54.0,2.0,3.0,2013.0,5.0,2916.0,108.0,162.0,108702.0,270.0,4.0,6.0,4026.0,10.0,9.0,6039.0,15.0,4052169.0,10065.0,25.0,1900.0,54.0,2.0
1.0,55.0,3.0,3.0,2013.0,6.0,3025.0,165.0,165.0,110715.0,330.0,9.0,9.0,6039.0,18.0,9.0,6039.0,18.0,4052169.0,12078.0,36.0,1615.0,55.0,3.0
1.0,56.0,4.0,3.0,2013.0,7.0,3136.0,224.0,168.0,112728.0,392.0,16.0,12.0,8052.0,28.0,9.0,6039.0,21.0,4052169.0,14091.0,49.0,1461.0,56.0,4.0
1.0,57.0,5.0,3.0,2013.0,8.0,3249.0,285.0,171.0,114741.0,456.0,25.0,15.0,10065.0,40.0,9.0,6039.0,24.0,4052169.0,16104.0,64.0,1514.0,57.0,5.0
1.0,58.0,6.0,3.0,2013.0,9.0,3364.0,348.0,174.0,116754.0,522.0,36.0,18.0,12078.0,54.0,9.0,6039.0,27.0,4052169.0,18117.0,81.0,180.0,58.0,6.0
1.0,59.0,7.0,3.0,2013.0,10.0,3481.0,413.0,177.0,118767.0,590.0,49.0,21.0,14091.0,70.0,9.0,6039.0,30.0,4052169.0,20130.0,100.0,41.0,59.0,7.0
1.0,60.0,1.0,3.0,2013.0,11.0,3600.0,60.0,180.0,120780.0,660.0,1.0,3.0,2013.0,11.0,9.0,6039.0,33.0,4052169.0,22143.0,121.0,1933.0,60.0,1.0
1.0,61.0,2.0,3.0,2013.0,12.0,3721.0,122.0,183.0,122793.0,732.0,4.0,6.0,4026.0,24.0,9.0,6039.0,36.0,4052169.0,24156.0,144.0,1812.0,61.0,2.0
1.0,62.0,3.0,3.0,2013.0,13.0,3844.0,186.0,186.0,124806.0,806.0,9.0,9.0,6039.0,39.0,9.0,6039.0,39.0,4052169.0,26169.0,169.0,1763.0,62.0,3.0
1.0,63.0,4.0,3.0,2013.0,14.0,3969.0,252.0,189.0,126819.0,882.0,16.0,12.0,8052.0,56.0,9.0,6039.0,42.0,4052169.0,28182.0,196.0,1386.0,63.0,4.0
1.0,64.0,5.0,3.0,2013.0,15.0,4096.0,320.0,192.0,128832.0,960.0,25.0,15.0,10065.0,75.0,9.0,6039.0,45.0,4052169.0,30195.0,225.0,1345.0,64.0,5.0
1.0,65.0,6.0,3.0,2013.0,16.0,4225.0,390.0,195.0,130845.0,1040.0,36.0,18.0,12078.0,96.0,9.0,6039.0,48.0,4052169.0,32208.0,256.0,113.0,65.0,6.0
1.0,66.0,1.0,3.0,2013.0,18.0,4356.0,66.0,198.0,132858.0,1188.0,1.0,3.0,2013.0,18.0,9.0,6039.0,54.0,4052169.0,36234.0,324.0,1797.0,66.0,1.0
1.0,67.0,2.0,3.0,2013.0,19.0,4489.0,134.0,201.0,134871.0,1273.0,4.0,6.0,4026.0,38.0,9.0,6039.0,57.0,4052169.0,38247.0,361.0,1889.0,67.0,2.0
1.0,68.0,3.0,3.0,2013.0,20.0,4624.0,204.0,204.0,136884.0,1360.0,9.0,9.0,6039.0,60.0,9.0,6039.0,60.0,4052169.0,40260.0,400.0,1445.0,68.0,3.0
1.0,69.0,4.0,3.0,2013.0,21.0,4761.0,276.0,207.0,138897.0,1449.0,16.0,12.0,8052.0,84.0,9.0,6039.0,63.0,4052169.0,42273.0,441.0,1452.0,69.0,4.0
1.0,70.0,5.0,3.0,2013.0,22.0,4900.0,350.0,210.0,140910.0,1540.0,25.0,15.0,10065.0,110.0,9.0,6039.0,66.0,4052169.0,44286.0,484.0,1559.0,70.0,5.0
1.0,71.0,6.0,3.0,2013.0,23.0,5041.0,426.0,213.0,142923.0,1633.0,36.0,18.0,12078.0,138.0,9.0,6039.0,69.0,4052169.0,46299.0,529.0,198.0,71.0,6.0
1.0,72.0,1.0,3.0,2013.0,25.0,5184.0,72.0,216.0,144936.0,1800.0,1.0,3.0,2013.0,25.0,9.0,6039.0,75.0,4052169.0,50325.0,625.0,1739.0,72.0,1.0
1.0,73.0,2.0,3.0,2013.0,26.0,5329.0,146.0,219.0,146949.0,1898.0,4.0,6.0,4026.0,52.0,9.0,6039.0,78.0,4052169.0,52338.0,676.0,1794.0,73.0,2.0
1.0,74.0,3.0,3.0,2013.0,27.0,5476.0,222.0,222.0,148962.0,1998.0,9.0,9.0,6039.0,81.0,9.0,6039.0,81.0,4052169.0,54351.0,729.0,1464.0,74.0,3.0
1.0,75.0,4.0,3.0,2013.0,28.0,5625.0,300.0,225.0,150975.0,2100.0,16.0,12.0,8052.0,112.0,9.0,6039.0,84.0,4052169.0,56364.0,784.0,1279.0,75.0,4.0
1.0,76.0,5.0,3.0,2013.0,29.0,5776.0,380.0,228.0,152988.0,2204.0,25.0,15.0,10065.0,145.0,9.0,6039.0,87.0,4052169.0,58377.0,841.0,1601.0,76.0,5.0
1.0,77.0,6.0,3.0,2013.0,30.0,5929.0,462.0,231.0,155001.0,2310.0,36.0,18.0,12078.0,180.0,9.0,6039.0,90.0,4052169.0,60390.0,900.0,171.0,77.0,6.0
1.0,78.0,7.0,3.0,2013.0,31.0,6084.0,546.0,234.0,157014.0,2418.0,49.0,21.0,14091.0,217.0,9.0,6039.0,93.0,4052169.0,62403.0,961.0,22.0,78.0,7.0
1.0,79.0,1.0,4.0,2013.0,1.0,6241.0,79.0,316.0,159027.0,79.0,1.0,4.0,2013.0,1.0,16.0,8052.0,4.0,4052169.0,2013.0,1.0,744.0,79.0,1.0
1.0,80.0,2.0,4.0,2013.0,2.0,6400.0,160.0,320.0,161040.0,160.0,4.0,8.0,4026.0,4.0,16.0,8052.0,8.0,4052169.0,4026.0,4.0,2424.0,80.0,2.0
1.0,81.0,3.0,4.0,2013.0,3.0,6561.0,243.0,324.0,163053.0,243.0,9.0,12.0,6039.0,9.0,16.0,8052.0,12.0,4052169.0,6039.0,9.0,1959.0,81.0,3.0
1.0,82.0,4.0,4.0,2013.0,4.0,6724.0,328.0,328.0,165066.0,328.0,16.0,16.0,8052.0,16.0,16.0,8052.0,16.0,4052169.0,8052.0,16.0,60.0,82.0,4.0
1.0,83.0,5.0,4.0,2013.0,5.0,6889.0,415.0,332.0,167079.0,415.0,25.0,20.0,10065.0,25.0,16.0,8052.0,20.0,4052169.0,10065.0,25.0,51.0,83.0,5.0
1.0,84.0,6.0,4.0,2013.0,6.0,7056.0,504.0,336.0,169092.0,504.0,36.0,24.0,12078.0,36.0,16.0,8052.0,24.0,4052169.0,12078.0,36.0,30.0,84.0,6.0
1.0,85.0,7.0,4.0,2013.0,7.0,7225.0,595.0,340.0,171105.0,595.0,49.0,28.0,14091.0,49.0,16.0,8052.0,28.0,4052169.0,14091.0,49.0,1929.0,85.0,7.0
1.0,86.0,1.0,4.0,2013.0,8.0,7396.0,86.0,344.0,173118.0,688.0,1.0,4.0,2013.0,8.0,16.0,8052.0,32.0,4052169.0,16104.0,64.0,1745.0,86.0,1.0
1.0,87.0,2.0,4.0,2013.0,9.0,7569.0,174.0,348.0,175131.0,783.0,4.0,8.0,4026.0,18.0,16.0,8052.0,36.0,4052169.0,18117.0,81.0,2143.0,87.0,2.0
1.0,88.0,3.0,4.0,2013.0,10.0,7744.0,264.0,352.0,177144.0,880.0,9.0,12.0,6039.0,30.0,16.0,8052.0,40.0,4052169.0,20130.0,100.0,1709.0,88.0,3.0
1.0,89.0,4.0,4.0,2013.0,11.0,7921.0,356.0,356.0,179157.0,979.0,16.0,16.0,8052.0,44.0,16.0,8052.0,44.0,4052169.0,22143.0,121.0,1294.0,89.0,4.0
1.0,90.0,5.0,4.0,2013.0,12.0,8100.0,450.0,360.0,181170.0,1080.0,25.0,20.0,10065.0,60.0,16.0,8052.0,48.0,4052169.0,24156.0,144.0,1527.0,90.0,5.0
1.0,91.0,6.0,4.0,2013.0,13.0,8281.0,546.0,364.0,183183.0,1183.0,36.0,24.0,12078.0,78.0,16.0,8052.0,52.0,4052169.0,26169.0,169.0,198.0,91.0,6.0
1.0,92.0,1.0,4.0,2013.0,15.0,8464.0,92.0,368.0,185196.0,1380.0,1.0,4.0,2013.0,15.0,16.0,8052.0,60.0,4052169.0,30195.0,225.0,2164.0,92.0,1.0
1.0,93.0,2.0,4.0,2013.0,16.0,8649.0,186.0,372.0,187209.0,1488.0,4.0,8.0,4026.0,32.0,16.0,8052.0,64.0,4052169.0,32208.0,256.0,1631.0,93.0,2.0
1.0,94.0,3.0,4.0,2013.0,17.0,8836.0,282.0,376.0,189222.0,1598.0,9.0,12.0,6039.0,51.0,16.0,8052.0,68.0,4052169.0,34221.0,289.0,1859.0,94.0,3.0
1.0,95.0,4.0,4.0,2013.0,18.0,9025.0,380.0,380.0,191235.0,1710.0,16.0,16.0,8052.0,72.0,16.0,8052.0,72.0,4052169.0,36234.0,324.0,1447.0,95.0,4.0
1.0,96.0,5.0,4.0,2013.0,19.0,9216.0,480.0,384.0,193248.0,1824.0,25.0,20.0,10065.0,95.0,16.0,8052.0,76.0,4052169.0,38247.0,361.0,1514.0,96.0,5.0
1.0,97.0,6.0,4.0,2013.0,20.0,9409.0,582.0,388.0,195261.0,1940.0,36.0,24.0,12078.0,120.0,16.0,8052.0,80.0,4052169.0,40260.0,400.0,137.0,97.0,6.0
1.0,98.0,7.0,4.0,2013.0,21.0,9604.0,686.0,392.0,197274.0,2058.0,49.0,28.0,14091.0,147.0,16.0,8052.0,84.0,4052169.0,42273.0,441.0,36.0,98.0,7.0
1.0,99.0,1.0,4.0,2013.0,22.0,9801.0,99.0,396.0,199287.0,2178.0,1.0,4.0,2013.0,22.0,16.0,8052.0,88.0,4052169.0,44286.0,484.0,2104.0,99.0,1.0
1.0,100.0,2.0,4.0,2013.0,23.0,10000.0,200.0,400.0,201300.0,2300.0,4.0,8.0,4026.0,46.0,16.0,8052.0,92.0,4052169.0,46299.0,529.0,1584.0,100.0,2.0
1.0,101.0,3.0,4.0,2013.0,24.0,10201.0,303.0,404.0,203313.0,2424.0,9.0,12.0,6039.0,72.0,16.0,8052.0,96.0,4052169.0,48312.0,576.0,1449.0,101.0,3.0
1.0,102.0,4.0,4.0,2013.0,25.0,10404.0,408.0,408.0,205326.0,2550.0,16.0,16.0,8052.0,100.0,16.0,8052.0,100.0,4052169.0,50325.0,625.0,1102.0,102.0,4.0
1.0,103.0,5.0,4.0,2013.0,26.0,10609.0,515.0,412.0,207339.0,2678.0,25.0,20.0,10065.0,130.0,16.0,8052.0,104.0,4052169.0,52338.0,676.0,1774.0,103.0,5.0
1.0,104.0,6.0,4.0,2013.0,27.0,10816.0,624.0,416.0,209352.0,2808.0,36.0,24.0,12078.0,162.0,16.0,8052.0,108.0,4052169.0,54351.0,729.0,1462.0,104.0,6.0
1.0,105.0,7.0,4.0,2013.0,28.0,11025.0,735.0,420.0,211365.0,2940.0,49.0,28.0,14091.0,196.0,16.0,8052.0,112.0,4052169.0,56364.0,784.0,1626.0,105.0,7.0
1.0,106.0,1.0,4.0,2013.0,29.0,11236.0,106.0,424.0,213378.0,3074.0,1.0,4.0,2013.0,29.0,16.0,8052.0,116.0,4052169.0,58377.0,841.0,73.0,106.0,1.0
1.0,107.0,4.0,4.0,2013.0,30.0,11449.0,428.0,428.0,215391.0,3210.0,16.0,16.0,8052.0,120.0,16.0,8052.0,120.0,4052169.0,60390.0,900.0,2484.0,107.0,4.0
1.0,108.0,5.0,5.0,2013.0,1.0,11664.0,540.0,540.0,217404.0,108.0,25.0,25.0,10065.0,5.0,25.0,10065.0,5.0,4052169.0,2013.0,1.0,1723.0,108.0,5.0
1.0,109.0,6.0,5.0,2013.0,2.0,11881.0,654.0,545.0,219417.0,218.0,36.0,30.0,12078.0,12.0,25.0,10065.0,10.0,4052169.0,4026.0,4.0,104.0,109.0,6.0
1.0,110.0,1.0,5.0,2013.0,4.0,12100.0,110.0,550.0,221430.0,440.0,1.0,5.0,2013.0,4.0,25.0,10065.0,20.0,4052169.0,8052.0,16.0,2427.0,110.0,1.0
1.0,111.0,2.0,5.0,2013.0,5.0,12321.0,222.0,555.0,223443.0,555.0,4.0,10.0,4026.0,10.0,25.0,10065.0,25.0,4052169.0,10065.0,25.0,2587.0,111.0,2.0
1.0,112.0,3.0,5.0,2013.0,6.0,12544.0,336.0,560.0,225456.0,672.0,9.0,15.0,6039.0,18.0,25.0,10065.0,30.0,4052169.0,12078.0,36.0,2220.0,112.0,3.0
1.0,113.0,4.0,5.0,2013.0,7.0,12769.0,452.0,565.0,227469.0,791.0,16.0,20.0,8052.0,28.0,25.0,10065.0,35.0,4052169.0,14091.0,49.0,1142.0,113.0,4.0
1.0,114.0,5.0,5.0,2013.0,8.0,12996.0,570.0,570.0,229482.0,912.0,25.0,25.0,10065.0,40.0,25.0,10065.0,40.0,4052169.0,16104.0,64.0,1934.0,114.0,5.0
1.0,115.0,6.0,5.0,2013.0,9.0,13225.0,690.0,575.0,231495.0,1035.0,36.0,30.0,12078.0,54.0,25.0,10065.0,45.0,4052169.0,18117.0,81.0,121.0,115.0,6.0
1.0,116.0,7.0,5.0,2013.0,10.0,13456.0,812.0,580.0,233508.0,1160.0,49.0,35.0,14091.0,70.0,25.0,10065.0,50.0,4052169.0,20130.0,100.0,23.0,116.0,7.0
1.0,117.0,1.0,5.0,2013.0,11.0,13689.0,117.0,585.0,235521.0,1287.0,1.0,5.0,2013.0,11.0,25.0,10065.0,55.0,4052169.0,22143.0,121.0,2509.0,117.0,1.0
1.0,118.0,2.0,5.0,2013.0,12.0,13924.0,236.0,590.0,237534.0,1416.0,4.0,10.0,4026.0,24.0,25.0,10065.0,60.0,4052169.0,24156.0,144.0,2284.0,118.0,2.0
1.0,119.0,3.0,5.0,2013.0,13.0,14161.0,357.0,595.0,239547.0,1547.0,9.0,15.0,6039.0,39.0,25.0,10065.0,65.0,4052169.0,26169.0,169.0,2068.0,119.0,3.0
1.0,120.0,4.0,5.0,2013.0,14.0,14400.0,480.0,600.0,241560.0,1680.0,16.0,20.0,8052.0,56.0,25.0,10065.0,70.0,4052169.0,28182.0,196.0,1088.0,120.0,4.0
1.0,121.0,5.0,5.0,2013.0,15.0,14641.0,605.0,605.0,243573.0,1815.0,25.0,25.0,10065.0,75.0,25.0,10065.0,75.0,4052169.0,30195.0,225.0,2030.0,121.0,5.0
1.0,122.0,6.0,5.0,2013.0,16.0,14884.0,732.0,610.0,245586.0,1952.0,36.0,30.0,12078.0,96.0,25.0,10065.0,80.0,4052169.0,32208.0,256.0,38.0,122.0,6.0
1.0,123.0,1.0,5.0,2013.0,18.0,15129.0,123.0,615.0,247599.0,2214.0,1.0,5.0,2013.0,18.0,25.0,10065.0,90.0,4052169.0,36234.0,324.0,1940.0,123.0,1.0
1.0,124.0,2.0,5.0,2013.0,19.0,15376.0,248.0,620.0,249612.0,2356.0,4.0,10.0,4026.0,38.0,25.0,10065.0,95.0,4052169.0,38247.0,361.0,2342.0,124.0,2.0
1.0,125.0,3.0,5.0,2013.0,20.0,15625.0,375.0,625.0,251625.0,2500.0,9.0,15.0,6039.0,60.0,25.0,10065.0,100.0,4052169.0,40260.0,400.0,5581.0,125.0,3.0
1.0,126.0,4.0,5.0,2013.0,21.0,15876.0,504.0,630.0,253638.0,2646.0,16.0,20.0,8052.0,84.0,25.0,10065.0,105.0,4052169.0,42273.0,441.0,2333.0,126.0,4.0
1.0,127.0,5.0,5.0,2013.0,22.0,16129.0,635.0,635.0,255651.0,2794.0,25.0,25.0,10065.0,110.0,25.0,10065.0,110.0,4052169.0,44286.0,484.0,1931.0,127.0,5.0
1.0,128.0,6.0,5.0,2013.0,23.0,16384.0,768.0,640.0,257664.0,2944.0,36.0,30.0,12078.0,138.0,25.0,10065.0,115.0,4052169.0,46299.0,529.0,140.0,128.0,6.0
1.0,129.0,1.0,5.0,2013.0,25.0,16641.0,129.0,645.0,259677.0,3225.0,1.0,5.0,2013.0,25.0,25.0,10065.0,125.0,4052169.0,50325.0,625.0,1794.0,129.0,1.0
1.0,130.0,2.0,5.0,2013.0,26.0,16900.0,260.0,650.0,261690.0,3380.0,4.0,10.0,4026.0,52.0,25.0,10065.0,130.0,4052169.0,52338.0,676.0,2055.0,130.0,2.0
1.0,131.0,3.0,5.0,2013.0,27.0,17161.0,393.0,655.0,263703.0,3537.0,9.0,15.0,6039.0,81.0,25.0,10065.0,135.0,4052169.0,54351.0,729.0,1658.0,131.0,3.0
1.0,132.0,4.0,5.0,2013.0,28.0,17424.0,528.0,660.0,265716.0,3696.0,16.0,20.0,8052.0,112.0,25.0,10065.0,140.0,4052169.0,56364.0,784.0,1497.0,132.0,4.0
