r_date,date,day_of_week,brand,cnt
2013-01-24,24.0,4.0,1,320.0
2013-01-24,24.0,4.0,2,97.0
2013-01-24,24.0,4.0,3,192.0
2013-01-24,24.0,4.0,4,447.0
2013-01-24,24.0,4.0,6,135.0
2013-01-24,24.0,4.0,7,212.0
2013-01-24,24.0,4.0,8,46.0
2013-01-24,24.0,4.0,9,315.0
2013-01-24,24.0,4.0,10,491.0
2013-01-25,25.0,5.0,1,374.0
2013-01-25,25.0,5.0,2,345.0
2013-01-25,25.0,5.0,3,209.0
2013-01-25,25.0,5.0,4,192.0
2013-01-25,25.0,5.0,6,166.0
2013-01-25,25.0,5.0,7,180.0
2013-01-25,25.0,5.0,9,368.0
2013-01-25,25.0,5.0,10,329.0
2013-01-26,26.0,6.0,1,62.0
2013-01-26,26.0,6.0,4,22.0
2013-01-26,26.0,6.0,6,6.0
2013-01-26,26.0,6.0,7,32.0
2013-01-26,26.0,6.0,9,46.0
2013-01-26,26.0,6.0,10,51.0
2013-01-27,27.0,7.0,1,27.0
2013-01-28,28.0,1.0,1,424.0
2013-01-28,28.0,1.0,2,239.0
2013-01-28,28.0,1.0,3,470.0
2013-01-28,28.0,1.0,4,767.0
2013-01-28,28.0,1.0,6,147.0
2013-01-28,28.0,1.0,7,206.0
2013-01-28,28.0,1.0,8,25.0
2013-01-28,28.0,1.0,9,503.0
2013-01-28,28.0,1.0,10,968.0
2013-01-29,29.0,2.0,1,780.0
2013-01-29,29.0,2.0,2,365.0
2013-01-29,29.0,2.0,3,261.0
2013-01-29,29.0,2.0,4,697.0
2013-01-29,29.0,2.0,6,196.0
2013-01-29,29.0,2.0,7,257.0
2013-01-29,29.0,2.0,8,63.0
2013-01-29,29.0,2.0,9,552.0
2013-01-29,29.0,2.0,10,618.0
2013-01-30,30.0,3.0,1,524.0
2013-01-30,30.0,3.0,2,526.0
2013-01-30,30.0,3.0,3,366.0
2013-01-30,30.0,3.0,4,508.0
2013-01-30,30.0,3.0,6,188.0
2013-01-30,30.0,3.0,7,270.0
2013-01-30,30.0,3.0,8,89.0
2013-01-30,30.0,3.0,9,544.0
2013-01-30,30.0,3.0,10,601.0
2013-01-31,31.0,4.0,1,343.0
2013-01-31,31.0,4.0,2,340.0
2013-01-31,31.0,4.0,3,264.0
2013-01-31,31.0,4.0,4,224.0
2013-01-31,31.0,4.0,6,148.0
2013-01-31,31.0,4.0,7,212.0
2013-01-31,31.0,4.0,9,439.0
2013-01-31,31.0,4.0,10,604.0
2013-02-01,32.0,5.0,1,524.0
2013-02-01,32.0,5.0,2,345.0
2013-02-01,32.0,5.0,3,366.0
2013-02-01,32.0,5.0,4,523.0
2013-02-01,32.0,5.0,6,185.0
2013-02-01,32.0,5.0,7,232.0
2013-02-01,32.0,5.0,8,51.0
2013-02-01,32.0,5.0,9,466.0
2013-02-01,32.0,5.0,10,515.0
2013-02-02,33.0,6.0,1,62.0
2013-02-02,33.0,6.0,2,33.0
2013-02-02,33.0,6.0,4,44.0
2013-02-02,33.0,6.0,6,6.0
2013-02-02,33.0,6.0,7,32.0
2013-02-02,33.0,6.0,8,32.0
2013-02-02,33.0,6.0,9,92.0
2013-02-02,33.0,6.0,10,51.0
2013-02-03,34.0,7.0,6,5.0
2013-02-03,34.0,7.0,9,27.0
2013-02-04,35.0,1.0,1,898.0
2013-02-04,35.0,1.0,2,663.0
2013-02-04,35.0,1.0,3,392.0
2013-02-04,35.0,1.0,4,802.0
2013-02-04,35.0,1.0,6,209.0
2013-02-04,35.0,1.0,7,386.0
2013-02-04,35.0,1.0,8,25.0
2013-02-04,35.0,1.0,9,835.0
2013-02-04,35.0,1.0,10,1071.0
2013-02-05,36.0,2.0,1,499.0
2013-02-05,36.0,2.0,2,630.0
2013-02-05,36.0,2.0,3,196.0
2013-02-05,36.0,2.0,4,871.0
2013-02-05,36.0,2.0,6,214.0
2013-02-05,36.0,2.0,7,322.0
2013-02-05,36.0,2.0,8,127.0
2013-02-05,36.0,2.0,9,813.0
2013-02-05,36.0,2.0,10,978.0
2013-02-06,37.0,3.0,1,902.0
2013-02-06,37.0,3.0,2,588.0
2013-02-06,37.0,3.0,3,305.0
2013-02-06,37.0,3.0,4,976.0
2013-02-06,37.0,3.0,6,283.0
2013-02-06,37.0,3.0,7,270.0
2013-02-06,37.0,3.0,8,30.0
2013-02-06,37.0,3.0,9,759.0
2013-02-06,37.0,3.0,10,1129.0
2013-02-07,38.0,4.0,1,503.0
2013-02-07,38.0,4.0,2,365.0
2013-02-07,38.0,4.0,3,216.0
2013-02-07,38.0,4.0,4,479.0
2013-02-07,38.0,4.0,6,183.0
2013-02-07,38.0,4.0,7,118.0
2013-02-07,38.0,4.0,8,23.0
2013-02-07,38.0,4.0,9,720.0
2013-02-07,38.0,4.0,10,717.0
2013-02-08,39.0,5.0,1,100.0
2013-02-08,39.0,5.0,2,159.0
2013-02-08,39.0,5.0,3,26.0
2013-02-08,39.0,5.0,4,174.0
2013-02-08,39.0,5.0,6,57.0
2013-02-08,39.0,5.0,7,77.0
2013-02-08,39.0,5.0,9,135.0
2013-02-08,39.0,5.0,10,185.0
2013-02-14,40.0,4.0,9,11.0
2013-02-14,40.0,4.0,10,19.0
2013-02-15,41.0,5.0,7,26.0
2013-02-16,42.0,6.0,1,842.0
2013-02-16,42.0,6.0,2,332.0
2013-02-16,42.0,6.0,3,229.0
2013-02-16,42.0,6.0,4,762.0
2013-02-16,42.0,6.0,6,160.0
2013-02-16,42.0,6.0,7,32.0
2013-02-16,42.0,6.0,9,614.0
2013-02-16,42.0,6.0,10,746.0
2013-02-17,43.0,7.0,1,946.0
2013-02-17,43.0,7.0,2,316.0
2013-02-17,43.0,7.0,3,57.0
2013-02-17,43.0,7.0,4,812.0
2013-02-17,43.0,7.0,6,165.0
2013-02-17,43.0,7.0,9,598.0
2013-02-17,43.0,7.0,10,602.0
2013-02-18,44.0,1.0,1,599.0
2013-02-18,44.0,1.0,2,186.0
2013-02-18,44.0,1.0,3,105.0
2013-02-18,44.0,1.0,4,488.0
2013-02-18,44.0,1.0,6,147.0
2013-02-18,44.0,1.0,7,26.0
2013-02-18,44.0,1.0,8,25.0
2013-02-18,44.0,1.0,9,479.0
2013-02-18,44.0,1.0,10,432.0
2013-02-19,45.0,2.0,1,624.0
2013-02-19,45.0,2.0,2,199.0
2013-02-19,45.0,2.0,3,131.0
2013-02-19,45.0,2.0,4,348.0
2013-02-19,45.0,2.0,6,131.0
2013-02-19,45.0,2.0,7,193.0
2013-02-19,45.0,2.0,8,32.0
2013-02-19,45.0,2.0,9,644.0
2013-02-19,45.0,2.0,10,309.0
2013-02-20,46.0,3.0,1,553.0
2013-02-20,46.0,3.0,2,371.0
2013-02-20,46.0,3.0,3,122.0
2013-02-20,46.0,3.0,4,468.0
2013-02-20,46.0,3.0,6,144.0
2013-02-20,46.0,3.0,7,150.0
2013-02-20,46.0,3.0,8,30.0
2013-02-20,46.0,3.0,9,530.0
2013-02-20,46.0,3.0,10,408.0
2013-02-21,47.0,4.0,1,480.0
2013-02-21,47.0,4.0,2,170.0
2013-02-21,47.0,4.0,3,120.0
2013-02-21,47.0,4.0,4,351.0
2013-02-21,47.0,4.0,6,118.0
2013-02-21,47.0,4.0,7,118.0
2013-02-21,47.0,4.0,8,46.0
2013-02-21,47.0,4.0,9,360.0
2013-02-21,47.0,4.0,10,434.0
2013-02-22,48.0,5.0,1,374.0
2013-02-22,48.0,5.0,2,186.0
2013-02-22,48.0,5.0,3,131.0
2013-02-22,48.0,5.0,4,418.0
2013-02-22,48.0,5.0,6,105.0
2013-02-22,48.0,5.0,7,77.0
2013-02-22,48.0,5.0,9,466.0
2013-02-22,48.0,5.0,10,268.0
2013-02-23,49.0,6.0,6,6.0
2013-02-23,49.0,6.0,7,32.0
2013-02-23,49.0,6.0,9,15.0
2013-02-23,49.0,6.0,10,26.0
2013-02-24,50.0,7.0,9,13.0
2013-02-25,51.0,1.0,1,424.0
2013-02-25,51.0,1.0,2,292.0
2013-02-25,51.0,1.0,3,105.0
2013-02-25,51.0,1.0,4,592.0
2013-02-25,51.0,1.0,6,124.0
2013-02-25,51.0,1.0,7,129.0
2013-02-25,51.0,1.0,9,368.0
2013-02-25,51.0,1.0,10,227.0
2013-02-26,52.0,2.0,1,312.0
2013-02-26,52.0,2.0,2,199.0
2013-02-26,52.0,2.0,3,229.0
2013-02-26,52.0,2.0,4,436.0
2013-02-26,52.0,2.0,6,143.0
2013-02-26,52.0,2.0,7,97.0
2013-02-26,52.0,2.0,9,491.0
2013-02-26,52.0,2.0,10,232.0
2013-02-27,53.0,3.0,1,204.0
2013-02-27,53.0,3.0,2,186.0
2013-02-27,53.0,3.0,3,152.0
2013-02-27,53.0,3.0,4,590.0
2013-02-27,53.0,3.0,6,133.0
2013-02-27,53.0,3.0,7,120.0
2013-02-27,53.0,3.0,9,272.0
2013-02-27,53.0,3.0,10,312.0
2013-02-28,54.0,4.0,1,274.0
2013-02-28,54.0,4.0,2,24.0
2013-02-28,54.0,4.0,3,144.0
2013-02-28,54.0,4.0,4,208.0
2013-02-28,54.0,4.0,6,87.0
2013-02-28,54.0,4.0,7,165.0
2013-02-28,54.0,4.0,9,236.0
2013-02-28,54.0,4.0,10,321.0
2013-03-01,55.0,5.0,1,399.0
2013-03-01,55.0,5.0,2,80.0
2013-03-01,55.0,5.0,3,209.0
2013-03-01,55.0,5.0,4,314.0
2013-03-01,55.0,5.0,6,128.0
2013-03-01,55.0,5.0,7,51.0
2013-03-01,55.0,5.0,8,25.0
2013-03-01,55.0,5.0,9,381.0
2013-03-01,55.0,5.0,10,453.0
2013-03-02,56.0,6.0,1,31.0
2013-03-02,56.0,6.0,9,61.0
2013-03-04,57.0,1.0,1,474.0
2013-03-04,57.0,1.0,2,239.0
2013-03-04,57.0,1.0,3,209.0
2013-03-04,57.0,1.0,4,401.0
2013-03-04,57.0,1.0,6,114.0
2013-03-04,57.0,1.0,7,103.0
2013-03-04,57.0,1.0,9,466.0
2013-03-04,57.0,1.0,10,227.0
2013-03-05,58.0,2.0,1,281.0
2013-03-05,58.0,2.0,2,464.0
2013-03-05,58.0,2.0,3,229.0
2013-03-05,58.0,2.0,4,544.0
2013-03-05,58.0,2.0,6,160.0
2013-03-05,58.0,2.0,7,161.0
2013-03-05,58.0,2.0,9,384.0
2013-03-05,58.0,2.0,10,463.0
2013-03-06,59.0,3.0,1,437.0
2013-03-06,59.0,3.0,2,124.0
2013-03-06,59.0,3.0,3,91.0
2013-03-06,59.0,3.0,4,468.0
2013-03-06,59.0,3.0,6,139.0
2013-03-06,59.0,3.0,7,120.0
2013-03-06,59.0,3.0,9,573.0
2013-03-06,59.0,3.0,10,336.0
2013-03-07,60.0,4.0,1,252.0
2013-03-07,60.0,4.0,2,97.0
2013-03-07,60.0,4.0,3,168.0
2013-03-07,60.0,4.0,4,335.0
2013-03-07,60.0,4.0,6,96.0
2013-03-07,60.0,4.0,7,142.0
2013-03-07,60.0,4.0,8,23.0
2013-03-07,60.0,4.0,9,338.0
2013-03-07,60.0,4.0,10,415.0
2013-03-08,61.0,5.0,1,150.0
2013-03-08,61.0,5.0,2,133.0
2013-03-08,61.0,5.0,3,131.0
2013-03-08,61.0,5.0,4,261.0
2013-03-08,61.0,5.0,6,95.0
2013-03-08,61.0,5.0,7,180.0
2013-03-08,61.0,5.0,8,25.0
2013-03-08,61.0,5.0,9,233.0
2013-03-08,61.0,5.0,10,412.0
2013-03-09,62.0,6.0,1,94.0
2013-03-09,62.0,6.0,4,44.0
2013-03-09,62.0,6.0,6,12.0
2013-03-09,62.0,6.0,9,61.0
2013-03-09,62.0,6.0,10,51.0
2013-03-10,63.0,7.0,4,19.0
2013-03-10,63.0,7.0,6,5.0
2013-03-10,63.0,7.0,7,28.0
2013-03-10,63.0,7.0,9,27.0
2013-03-10,63.0,7.0,10,22.0
2013-03-11,64.0,1.0,1,299.0
2013-03-11,64.0,1.0,2,398.0
2013-03-11,64.0,1.0,3,287.0
2013-03-11,64.0,1.0,4,732.0
2013-03-11,64.0,1.0,6,124.0
2013-03-11,64.0,1.0,7,154.0
2013-03-11,64.0,1.0,9,368.0
2013-03-11,64.0,1.0,10,371.0
2013-03-12,65.0,2.0,1,499.0
2013-03-12,65.0,2.0,2,199.0
2013-03-12,65.0,2.0,3,229.0
2013-03-12,65.0,2.0,4,436.0
2013-03-12,65.0,2.0,6,71.0
2013-03-12,65.0,2.0,7,225.0
2013-03-12,65.0,2.0,9,384.0
2013-03-12,65.0,2.0,10,489.0
2013-03-13,66.0,3.0,1,175.0
2013-03-13,66.0,3.0,2,31.0
2013-03-13,66.0,3.0,3,183.0
2013-03-13,66.0,3.0,4,407.0
2013-03-13,66.0,3.0,6,89.0
2013-03-13,66.0,3.0,7,150.0
2013-03-13,66.0,3.0,8,30.0
2013-03-13,66.0,3.0,9,387.0
2013-03-13,66.0,3.0,10,384.0
2013-03-14,67.0,4.0,1,297.0
2013-03-14,67.0,4.0,2,73.0
2013-03-14,67.0,4.0,3,168.0
2013-03-14,67.0,4.0,4,303.0
2013-03-14,67.0,4.0,6,131.0
2013-03-14,67.0,4.0,7,71.0
2013-03-14,67.0,4.0,8,23.0
2013-03-14,67.0,4.0,9,236.0
2013-03-14,67.0,4.0,10,283.0
2013-03-15,68.0,5.0,1,225.0
2013-03-15,68.0,5.0,2,159.0
2013-03-15,68.0,5.0,3,209.0
2013-03-15,68.0,5.0,4,261.0
2013-03-15,68.0,5.0,6,157.0
2013-03-15,68.0,5.0,7,206.0
2013-03-15,68.0,5.0,9,282.0
2013-03-15,68.0,5.0,10,329.0
2013-03-16,69.0,6.0,3,33.0
2013-03-16,69.0,6.0,6,6.0
2013-03-16,69.0,6.0,9,46.0
2013-03-16,69.0,6.0,10,26.0
2013-03-17,70.0,7.0,1,54.0
2013-03-17,70.0,7.0,6,5.0
2013-03-18,71.0,1.0,1,474.0
2013-03-18,71.0,1.0,2,27.0
2013-03-18,71.0,1.0,3,131.0
2013-03-18,71.0,1.0,4,470.0
2013-03-18,71.0,1.0,6,143.0
2013-03-18,71.0,1.0,7,180.0
2013-03-18,71.0,1.0,8,25.0
2013-03-18,71.0,1.0,9,466.0
2013-03-18,71.0,1.0,10,391.0
2013-03-19,72.0,2.0,1,437.0
2013-03-19,72.0,2.0,2,199.0
2013-03-19,72.0,2.0,3,229.0
2013-03-19,72.0,2.0,4,457.0
2013-03-19,72.0,2.0,6,143.0
2013-03-19,72.0,2.0,7,161.0
2013-03-19,72.0,2.0,8,32.0
2013-03-19,72.0,2.0,9,598.0
2013-03-19,72.0,2.0,10,335.0
2013-03-20,73.0,3.0,1,262.0
2013-03-20,73.0,3.0,2,186.0
2013-03-20,73.0,3.0,3,244.0
2013-03-20,73.0,3.0,4,346.0
2013-03-20,73.0,3.0,6,100.0
2013-03-20,73.0,3.0,7,240.0
2013-03-20,73.0,3.0,9,358.0
2013-03-20,73.0,3.0,10,240.0
2013-03-21,74.0,4.0,1,229.0
2013-03-21,74.0,4.0,2,243.0
2013-03-21,74.0,4.0,3,192.0
2013-03-21,74.0,4.0,4,367.0
2013-03-21,74.0,4.0,6,126.0
2013-03-21,74.0,4.0,7,142.0
2013-03-21,74.0,4.0,8,70.0
2013-03-21,74.0,4.0,9,259.0
2013-03-21,74.0,4.0,10,359.0
2013-03-22,75.0,5.0,1,374.0
2013-03-22,75.0,5.0,2,212.0
2013-03-22,75.0,5.0,3,157.0
2013-03-22,75.0,5.0,4,418.0
2013-03-22,75.0,5.0,6,95.0
2013-03-22,75.0,5.0,7,154.0
2013-03-22,75.0,5.0,9,209.0
2013-03-22,75.0,5.0,10,371.0
2013-03-23,76.0,6.0,1,31.0
2013-03-23,76.0,6.0,4,44.0
2013-03-23,76.0,6.0,7,64.0
2013-03-23,76.0,6.0,9,15.0
2013-03-23,76.0,6.0,10,51.0
2013-03-24,77.0,7.0,1,27.0
2013-03-25,78.0,1.0,1,274.0
2013-03-25,78.0,1.0,2,80.0
2013-03-25,78.0,1.0,3,209.0
2013-03-25,78.0,1.0,4,401.0
2013-03-25,78.0,1.0,6,119.0
2013-03-25,78.0,1.0,7,257.0
2013-03-25,78.0,1.0,9,246.0
2013-03-25,78.0,1.0,10,474.0
2013-03-26,79.0,2.0,1,312.0
2013-03-26,79.0,2.0,2,365.0
2013-03-26,79.0,2.0,3,229.0
2013-03-26,79.0,2.0,4,479.0
2013-03-26,79.0,2.0,6,184.0
2013-03-26,79.0,2.0,7,161.0
2013-03-26,79.0,2.0,8,32.0
2013-03-26,79.0,2.0,9,322.0
2013-03-26,79.0,2.0,10,283.0
2013-03-27,80.0,3.0,1,291.0
2013-03-27,80.0,3.0,2,155.0
2013-03-27,80.0,3.0,3,61.0
2013-03-27,80.0,3.0,4,305.0
2013-03-27,80.0,3.0,6,111.0
2013-03-27,80.0,3.0,7,240.0
2013-03-27,80.0,3.0,8,30.0
2013-03-27,80.0,3.0,9,272.0
2013-03-27,80.0,3.0,10,336.0
2013-03-28,81.0,4.0,1,252.0
2013-03-28,81.0,4.0,2,146.0
2013-03-28,81.0,4.0,3,168.0
2013-03-28,81.0,4.0,4,240.0
2013-03-28,81.0,4.0,6,96.0
2013-03-28,81.0,4.0,7,142.0
2013-03-28,81.0,4.0,9,225.0
2013-03-28,81.0,4.0,10,321.0
2013-03-29,82.0,5.0,1,299.0
2013-03-29,82.0,5.0,2,371.0
2013-03-29,82.0,5.0,3,340.0
2013-03-29,82.0,5.0,4,227.0
2013-03-29,82.0,5.0,6,147.0
2013-03-29,82.0,5.0,7,283.0
2013-03-29,82.0,5.0,8,101.0
2013-03-29,82.0,5.0,9,344.0
2013-03-29,82.0,5.0,10,453.0
2013-03-30,83.0,6.0,1,62.0
2013-03-30,83.0,6.0,4,22.0
2013-03-30,83.0,6.0,6,12.0
2013-03-30,83.0,6.0,9,92.0
2013-03-30,83.0,6.0,10,26.0
2013-03-31,84.0,7.0,1,27.0
2013-03-31,84.0,7.0,10,22.0
2013-04-01,85.0,1.0,1,299.0
2013-04-01,85.0,1.0,2,186.0
2013-04-01,85.0,1.0,3,78.0
2013-04-01,85.0,1.0,4,157.0
2013-04-01,85.0,1.0,6,86.0
2013-04-01,85.0,1.0,7,26.0
2013-04-01,85.0,1.0,8,25.0
2013-04-01,85.0,1.0,9,86.0
2013-04-01,85.0,1.0,10,144.0
2013-04-02,86.0,2.0,1,312.0
2013-04-02,86.0,2.0,2,431.0
2013-04-02,86.0,2.0,3,327.0
2013-04-02,86.0,2.0,4,501.0
2013-04-02,86.0,2.0,6,160.0
2013-04-02,86.0,2.0,7,129.0
2013-04-02,86.0,2.0,8,63.0
2013-04-02,86.0,2.0,9,660.0
2013-04-02,86.0,2.0,10,592.0
2013-04-03,87.0,3.0,1,582.0
2013-04-03,87.0,3.0,2,464.0
2013-04-03,87.0,3.0,3,335.0
2013-04-03,87.0,3.0,4,366.0
2013-04-03,87.0,3.0,6,166.0
2013-04-03,87.0,3.0,7,330.0
2013-04-03,87.0,3.0,8,59.0
2013-04-03,87.0,3.0,9,587.0
2013-04-03,87.0,3.0,10,577.0
2013-04-04,88.0,4.0,1,23.0
2013-04-04,88.0,4.0,3,24.0
2013-04-04,88.0,4.0,4,16.0
2013-04-04,88.0,4.0,7,47.0
2013-04-05,89.0,5.0,4,17.0
2013-04-05,89.0,5.0,7,26.0
2013-04-05,89.0,5.0,9,12.0
2013-04-05,89.0,5.0,10,21.0
2013-04-06,90.0,6.0,6,6.0
2013-04-07,91.0,7.0,1,324.0
2013-04-07,91.0,7.0,2,287.0
2013-04-07,91.0,7.0,3,198.0
2013-04-07,91.0,7.0,4,415.0
2013-04-07,91.0,7.0,6,103.0
2013-04-07,91.0,7.0,7,167.0
2013-04-07,91.0,7.0,9,359.0
2013-04-07,91.0,7.0,10,491.0
2013-04-08,92.0,1.0,1,349.0
2013-04-08,92.0,1.0,2,159.0
2013-04-08,92.0,1.0,3,26.0
2013-04-08,92.0,1.0,4,453.0
2013-04-08,92.0,1.0,6,71.0
2013-04-08,92.0,1.0,7,180.0
2013-04-08,92.0,1.0,8,101.0
2013-04-08,92.0,1.0,9,552.0
2013-04-08,92.0,1.0,10,309.0
2013-04-09,93.0,2.0,1,374.0
2013-04-09,93.0,2.0,2,265.0
2013-04-09,93.0,2.0,3,196.0
2013-04-09,93.0,2.0,4,327.0
2013-04-09,93.0,2.0,6,166.0
