brand,cnt,date,day,day_of_week,month,r_date,year
1,374.0,25.0,25,5.0,1,2013-01-25,2013
2,345.0,25.0,25,5.0,1,2013-01-25,2013
3,209.0,25.0,25,5.0,1,2013-01-25,2013
4,192.0,25.0,25,5.0,1,2013-01-25,2013
6,166.0,25.0,25,5.0,1,2013-01-25,2013
7,180.0,25.0,25,5.0,1,2013-01-25,2013
9,368.0,25.0,25,5.0,1,2013-01-25,2013
10,329.0,25.0,25,5.0,1,2013-01-25,2013
1,62.0,26.0,26,6.0,1,2013-01-26,2013
4,22.0,26.0,26,6.0,1,2013-01-26,2013
6,6.0,26.0,26,6.0,1,2013-01-26,2013
7,32.0,26.0,26,6.0,1,2013-01-26,2013
9,46.0,26.0,26,6.0,1,2013-01-26,2013
10,51.0,26.0,26,6.0,1,2013-01-26,2013
1,27.0,27.0,27,7.0,1,2013-01-27,2013
1,424.0,28.0,28,1.0,1,2013-01-28,2013
2,239.0,28.0,28,1.0,1,2013-01-28,2013
3,470.0,28.0,28,1.0,1,2013-01-28,2013
4,767.0,28.0,28,1.0,1,2013-01-28,2013
6,147.0,28.0,28,1.0,1,2013-01-28,2013
7,206.0,28.0,28,1.0,1,2013-01-28,2013
8,25.0,28.0,28,1.0,1,2013-01-28,2013
9,503.0,28.0,28,1.0,1,2013-01-28,2013
10,968.0,28.0,28,1.0,1,2013-01-28,2013
1,780.0,29.0,29,2.0,1,2013-01-29,2013
2,365.0,29.0,29,2.0,1,2013-01-29,2013
3,261.0,29.0,29,2.0,1,2013-01-29,2013
4,697.0,29.0,29,2.0,1,2013-01-29,2013
6,196.0,29.0,29,2.0,1,2013-01-29,2013
7,257.0,29.0,29,2.0,1,2013-01-29,2013
8,63.0,29.0,29,2.0,1,2013-01-29,2013
9,552.0,29.0,29,2.0,1,2013-01-29,2013
10,618.0,29.0,29,2.0,1,2013-01-29,2013
1,524.0,30.0,30,3.0,1,2013-01-30,2013
2,526.0,30.0,30,3.0,1,2013-01-30,2013
3,366.0,30.0,30,3.0,1,2013-01-30,2013
4,508.0,30.0,30,3.0,1,2013-01-30,2013
6,188.0,30.0,30,3.0,1,2013-01-30,2013
7,270.0,30.0,30,3.0,1,2013-01-30,2013
8,89.0,30.0,30,3.0,1,2013-01-30,2013
9,544.0,30.0,30,3.0,1,2013-01-30,2013
10,601.0,30.0,30,3.0,1,2013-01-30,2013
1,343.0,31.0,31,4.0,1,2013-01-31,2013
2,340.0,31.0,31,4.0,1,2013-01-31,2013
3,264.0,31.0,31,4.0,1,2013-01-31,2013
4,224.0,31.0,31,4.0,1,2013-01-31,2013
6,148.0,31.0,31,4.0,1,2013-01-31,2013
7,212.0,31.0,31,4.0,1,2013-01-31,2013
9,439.0,31.0,31,4.0,1,2013-01-31,2013
10,604.0,31.0,31,4.0,1,2013-01-31,2013
1,524.0,32.0,1,5.0,2,2013-02-01,2013
2,345.0,32.0,1,5.0,2,2013-02-01,2013
3,366.0,32.0,1,5.0,2,2013-02-01,2013
4,523.0,32.0,1,5.0,2,2013-02-01,2013
6,185.0,32.0,1,5.0,2,2013-02-01,2013
7,232.0,32.0,1,5.0,2,2013-02-01,2013
8,51.0,32.0,1,5.0,2,2013-02-01,2013
9,466.0,32.0,1,5.0,2,2013-02-01,2013
10,515.0,32.0,1,5.0,2,2013-02-01,2013
1,62.0,33.0,2,6.0,2,2013-02-02,2013
2,33.0,33.0,2,6.0,2,2013-02-02,2013
4,44.0,33.0,2,6.0,2,2013-02-02,2013
6,6.0,33.0,2,6.0,2,2013-02-02,2013
7,32.0,33.0,2,6.0,2,2013-02-02,2013
8,32.0,33.0,2,6.0,2,2013-02-02,2013
9,92.0,33.0,2,6.0,2,2013-02-02,2013
10,51.0,33.0,2,6.0,2,2013-02-02,2013
6,5.0,34.0,3,7.0,2,2013-02-03,2013
9,27.0,34.0,3,7.0,2,2013-02-03,2013
1,898.0,35.0,4,1.0,2,2013-02-04,2013
2,663.0,35.0,4,1.0,2,2013-02-04,2013
3,392.0,35.0,4,1.0,2,2013-02-04,2013
4,802.0,35.0,4,1.0,2,2013-02-04,2013
6,209.0,35.0,4,1.0,2,2013-02-04,2013
7,386.0,35.0,4,1.0,2,2013-02-04,2013
8,25.0,35.0,4,1.0,2,2013-02-04,2013
9,835.0,35.0,4,1.0,2,2013-02-04,2013
10,1071.0,35.0,4,1.0,2,2013-02-04,2013
1,499.0,36.0,5,2.0,2,2013-02-05,2013
2,630.0,36.0,5,2.0,2,2013-02-05,2013
3,196.0,36.0,5,2.0,2,2013-02-05,2013
4,871.0,36.0,5,2.0,2,2013-02-05,2013
6,214.0,36.0,5,2.0,2,2013-02-05,2013
7,322.0,36.0,5,2.0,2,2013-02-05,2013
8,127.0,36.0,5,2.0,2,2013-02-05,2013
9,813.0,36.0,5,2.0,2,2013-02-05,2013
10,978.0,36.0,5,2.0,2,2013-02-05,2013
1,902.0,37.0,6,3.0,2,2013-02-06,2013
2,588.0,37.0,6,3.0,2,2013-02-06,2013
3,305.0,37.0,6,3.0,2,2013-02-06,2013
4,976.0,37.0,6,3.0,2,2013-02-06,2013
6,283.0,37.0,6,3.0,2,2013-02-06,2013
7,270.0,37.0,6,3.0,2,2013-02-06,2013
8,30.0,37.0,6,3.0,2,2013-02-06,2013
9,759.0,37.0,6,3.0,2,2013-02-06,2013
10,1129.0,37.0,6,3.0,2,2013-02-06,2013
1,503.0,38.0,7,4.0,2,2013-02-07,2013
2,365.0,38.0,7,4.0,2,2013-02-07,2013
3,216.0,38.0,7,4.0,2,2013-02-07,2013
4,479.0,38.0,7,4.0,2,2013-02-07,2013
6,183.0,38.0,7,4.0,2,2013-02-07,2013
7,118.0,38.0,7,4.0,2,2013-02-07,2013
8,23.0,38.0,7,4.0,2,2013-02-07,2013
9,720.0,38.0,7,4.0,2,2013-02-07,2013
10,717.0,38.0,7,4.0,2,2013-02-07,2013
1,100.0,39.0,8,5.0,2,2013-02-08,2013
2,159.0,39.0,8,5.0,2,2013-02-08,2013
3,26.0,39.0,8,5.0,2,2013-02-08,2013
4,174.0,39.0,8,5.0,2,2013-02-08,2013
6,57.0,39.0,8,5.0,2,2013-02-08,2013
7,77.0,39.0,8,5.0,2,2013-02-08,2013
9,135.0,39.0,8,5.0,2,2013-02-08,2013
10,185.0,39.0,8,5.0,2,2013-02-08,2013
9,11.0,40.0,14,4.0,2,2013-02-14,2013
10,19.0,40.0,14,4.0,2,2013-02-14,2013
7,26.0,41.0,15,5.0,2,2013-02-15,2013
1,842.0,42.0,16,6.0,2,2013-02-16,2013
2,332.0,42.0,16,6.0,2,2013-02-16,2013
3,229.0,42.0,16,6.0,2,2013-02-16,2013
4,762.0,42.0,16,6.0,2,2013-02-16,2013
6,160.0,42.0,16,6.0,2,2013-02-16,2013
7,32.0,42.0,16,6.0,2,2013-02-16,2013
9,614.0,42.0,16,6.0,2,2013-02-16,2013
10,746.0,42.0,16,6.0,2,2013-02-16,2013
1,946.0,43.0,17,7.0,2,2013-02-17,2013
2,316.0,43.0,17,7.0,2,2013-02-17,2013
3,57.0,43.0,17,7.0,2,2013-02-17,2013
4,812.0,43.0,17,7.0,2,2013-02-17,2013
6,165.0,43.0,17,7.0,2,2013-02-17,2013
9,598.0,43.0,17,7.0,2,2013-02-17,2013
10,602.0,43.0,17,7.0,2,2013-02-17,2013
1,599.0,44.0,18,1.0,2,2013-02-18,2013
2,186.0,44.0,18,1.0,2,2013-02-18,2013
3,105.0,44.0,18,1.0,2,2013-02-18,2013
4,488.0,44.0,18,1.0,2,2013-02-18,2013
6,147.0,44.0,18,1.0,2,2013-02-18,2013
7,26.0,44.0,18,1.0,2,2013-02-18,2013
8,25.0,44.0,18,1.0,2,2013-02-18,2013
9,479.0,44.0,18,1.0,2,2013-02-18,2013
10,432.0,44.0,18,1.0,2,2013-02-18,2013
1,624.0,45.0,19,2.0,2,2013-02-19,2013
2,199.0,45.0,19,2.0,2,2013-02-19,2013
3,131.0,45.0,19,2.0,2,2013-02-19,2013
4,348.0,45.0,19,2.0,2,2013-02-19,2013
6,131.0,45.0,19,2.0,2,2013-02-19,2013
7,193.0,45.0,19,2.0,2,2013-02-19,2013
8,32.0,45.0,19,2.0,2,2013-02-19,2013
9,644.0,45.0,19,2.0,2,2013-02-19,2013
10,309.0,45.0,19,2.0,2,2013-02-19,2013
1,553.0,46.0,20,3.0,2,2013-02-20,2013
2,371.0,46.0,20,3.0,2,2013-02-20,2013
3,122.0,46.0,20,3.0,2,2013-02-20,2013
4,468.0,46.0,20,3.0,2,2013-02-20,2013
6,144.0,46.0,20,3.0,2,2013-02-20,2013
7,150.0,46.0,20,3.0,2,2013-02-20,2013
8,30.0,46.0,20,3.0,2,2013-02-20,2013
9,530.0,46.0,20,3.0,2,2013-02-20,2013
10,408.0,46.0,20,3.0,2,2013-02-20,2013
1,480.0,47.0,21,4.0,2,2013-02-21,2013
2,170.0,47.0,21,4.0,2,2013-02-21,2013
3,120.0,47.0,21,4.0,2,2013-02-21,2013
4,351.0,47.0,21,4.0,2,2013-02-21,2013
6,118.0,47.0,21,4.0,2,2013-02-21,2013
7,118.0,47.0,21,4.0,2,2013-02-21,2013
8,46.0,47.0,21,4.0,2,2013-02-21,2013
9,360.0,47.0,21,4.0,2,2013-02-21,2013
10,434.0,47.0,21,4.0,2,2013-02-21,2013
1,374.0,48.0,22,5.0,2,2013-02-22,2013
2,186.0,48.0,22,5.0,2,2013-02-22,2013
3,131.0,48.0,22,5.0,2,2013-02-22,2013
4,418.0,48.0,22,5.0,2,2013-02-22,2013
6,105.0,48.0,22,5.0,2,2013-02-22,2013
7,77.0,48.0,22,5.0,2,2013-02-22,2013
9,466.0,48.0,22,5.0,2,2013-02-22,2013
10,268.0,48.0,22,5.0,2,2013-02-22,2013
6,6.0,49.0,23,6.0,2,2013-02-23,2013
7,32.0,49.0,23,6.0,2,2013-02-23,2013
9,15.0,49.0,23,6.0,2,2013-02-23,2013
10,26.0,49.0,23,6.0,2,2013-02-23,2013
9,13.0,50.0,24,7.0,2,2013-02-24,2013
1,424.0,51.0,25,1.0,2,2013-02-25,2013
2,292.0,51.0,25,1.0,2,2013-02-25,2013
3,105.0,51.0,25,1.0,2,2013-02-25,2013
4,592.0,51.0,25,1.0,2,2013-02-25,2013
6,124.0,51.0,25,1.0,2,2013-02-25,2013
7,129.0,51.0,25,1.0,2,2013-02-25,2013
9,368.0,51.0,25,1.0,2,2013-02-25,2013
10,227.0,51.0,25,1.0,2,2013-02-25,2013
1,312.0,52.0,26,2.0,2,2013-02-26,2013
2,199.0,52.0,26,2.0,2,2013-02-26,2013
3,229.0,52.0,26,2.0,2,2013-02-26,2013
4,436.0,52.0,26,2.0,2,2013-02-26,2013
6,143.0,52.0,26,2.0,2,2013-02-26,2013
7,97.0,52.0,26,2.0,2,2013-02-26,2013
9,491.0,52.0,26,2.0,2,2013-02-26,2013
10,232.0,52.0,26,2.0,2,2013-02-26,2013
1,204.0,53.0,27,3.0,2,2013-02-27,2013
2,186.0,53.0,27,3.0,2,2013-02-27,2013
3,152.0,53.0,27,3.0,2,2013-02-27,2013
4,590.0,53.0,27,3.0,2,2013-02-27,2013
6,133.0,53.0,27,3.0,2,2013-02-27,2013
7,120.0,53.0,27,3.0,2,2013-02-27,2013
9,272.0,53.0,27,3.0,2,2013-02-27,2013
10,312.0,53.0,27,3.0,2,2013-02-27,2013
1,274.0,54.0,28,4.0,2,2013-02-28,2013
2,24.0,54.0,28,4.0,2,2013-02-28,2013
3,144.0,54.0,28,4.0,2,2013-02-28,2013
4,208.0,54.0,28,4.0,2,2013-02-28,2013
6,87.0,54.0,28,4.0,2,2013-02-28,2013
7,165.0,54.0,28,4.0,2,2013-02-28,2013
9,236.0,54.0,28,4.0,2,2013-02-28,2013
10,321.0,54.0,28,4.0,2,2013-02-28,2013
1,399.0,55.0,1,5.0,3,2013-03-01,2013
2,80.0,55.0,1,5.0,3,2013-03-01,2013
3,209.0,55.0,1,5.0,3,2013-03-01,2013
4,314.0,55.0,1,5.0,3,2013-03-01,2013
6,128.0,55.0,1,5.0,3,2013-03-01,2013
7,51.0,55.0,1,5.0,3,2013-03-01,2013
8,25.0,55.0,1,5.0,3,2013-03-01,2013
9,381.0,55.0,1,5.0,3,2013-03-01,2013
10,453.0,55.0,1,5.0,3,2013-03-01,2013
1,31.0,56.0,2,6.0,3,2013-03-02,2013
9,61.0,56.0,2,6.0,3,2013-03-02,2013
1,474.0,57.0,4,1.0,3,2013-03-04,2013
2,239.0,57.0,4,1.0,3,2013-03-04,2013
3,209.0,57.0,4,1.0,3,2013-03-04,2013
4,401.0,57.0,4,1.0,3,2013-03-04,2013
6,114.0,57.0,4,1.0,3,2013-03-04,2013
7,103.0,57.0,4,1.0,3,2013-03-04,2013
9,466.0,57.0,4,1.0,3,2013-03-04,2013
10,227.0,57.0,4,1.0,3,2013-03-04,2013
1,281.0,58.0,5,2.0,3,2013-03-05,2013
2,464.0,58.0,5,2.0,3,2013-03-05,2013
3,229.0,58.0,5,2.0,3,2013-03-05,2013
4,544.0,58.0,5,2.0,3,2013-03-05,2013
6,160.0,58.0,5,2.0,3,2013-03-05,2013
7,161.0,58.0,5,2.0,3,2013-03-05,2013
9,384.0,58.0,5,2.0,3,2013-03-05,2013
10,463.0,58.0,5,2.0,3,2013-03-05,2013
1,437.0,59.0,6,3.0,3,2013-03-06,2013
2,124.0,59.0,6,3.0,3,2013-03-06,2013
3,91.0,59.0,6,3.0,3,2013-03-06,2013
4,468.0,59.0,6,3.0,3,2013-03-06,2013
6,139.0,59.0,6,3.0,3,2013-03-06,2013
7,120.0,59.0,6,3.0,3,2013-03-06,2013
9,573.0,59.0,6,3.0,3,2013-03-06,2013
10,336.0,59.0,6,3.0,3,2013-03-06,2013
1,252.0,60.0,7,4.0,3,2013-03-07,2013
2,97.0,60.0,7,4.0,3,2013-03-07,2013
3,168.0,60.0,7,4.0,3,2013-03-07,2013
4,335.0,60.0,7,4.0,3,2013-03-07,2013
6,96.0,60.0,7,4.0,3,2013-03-07,2013
7,142.0,60.0,7,4.0,3,2013-03-07,2013
8,23.0,60.0,7,4.0,3,2013-03-07,2013
9,338.0,60.0,7,4.0,3,2013-03-07,2013
10,415.0,60.0,7,4.0,3,2013-03-07,2013
1,150.0,61.0,8,5.0,3,2013-03-08,2013
2,133.0,61.0,8,5.0,3,2013-03-08,2013
3,131.0,61.0,8,5.0,3,2013-03-08,2013
4,261.0,61.0,8,5.0,3,2013-03-08,2013
6,95.0,61.0,8,5.0,3,2013-03-08,2013
7,180.0,61.0,8,5.0,3,2013-03-08,2013
8,25.0,61.0,8,5.0,3,2013-03-08,2013
9,233.0,61.0,8,5.0,3,2013-03-08,2013
10,412.0,61.0,8,5.0,3,2013-03-08,2013
1,94.0,62.0,9,6.0,3,2013-03-09,2013
4,44.0,62.0,9,6.0,3,2013-03-09,2013
6,12.0,62.0,9,6.0,3,2013-03-09,2013
9,61.0,62.0,9,6.0,3,2013-03-09,2013
10,51.0,62.0,9,6.0,3,2013-03-09,2013
4,19.0,63.0,10,7.0,3,2013-03-10,2013
6,5.0,63.0,10,7.0,3,2013-03-10,2013
7,28.0,63.0,10,7.0,3,2013-03-10,2013
9,27.0,63.0,10,7.0,3,2013-03-10,2013
10,22.0,63.0,10,7.0,3,2013-03-10,2013
1,299.0,64.0,11,1.0,3,2013-03-11,2013
2,398.0,64.0,11,1.0,3,2013-03-11,2013
3,287.0,64.0,11,1.0,3,2013-03-11,2013
4,732.0,64.0,11,1.0,3,2013-03-11,2013
6,124.0,64.0,11,1.0,3,2013-03-11,2013
7,154.0,64.0,11,1.0,3,2013-03-11,2013
9,368.0,64.0,11,1.0,3,2013-03-11,2013
10,371.0,64.0,11,1.0,3,2013-03-11,2013
1,499.0,65.0,12,2.0,3,2013-03-12,2013
2,199.0,65.0,12,2.0,3,2013-03-12,2013
3,229.0,65.0,12,2.0,3,2013-03-12,2013
4,436.0,65.0,12,2.0,3,2013-03-12,2013
6,71.0,65.0,12,2.0,3,2013-03-12,2013
7,225.0,65.0,12,2.0,3,2013-03-12,2013
9,384.0,65.0,12,2.0,3,2013-03-12,2013
10,489.0,65.0,12,2.0,3,2013-03-12,2013
1,175.0,66.0,13,3.0,3,2013-03-13,2013
2,31.0,66.0,13,3.0,3,2013-03-13,2013
3,183.0,66.0,13,3.0,3,2013-03-13,2013
4,407.0,66.0,13,3.0,3,2013-03-13,2013
6,89.0,66.0,13,3.0,3,2013-03-13,2013
7,150.0,66.0,13,3.0,3,2013-03-13,2013
8,30.0,66.0,13,3.0,3,2013-03-13,2013
9,387.0,66.0,13,3.0,3,2013-03-13,2013
10,384.0,66.0,13,3.0,3,2013-03-13,2013
1,297.0,67.0,14,4.0,3,2013-03-14,2013
2,73.0,67.0,14,4.0,3,2013-03-14,2013
3,168.0,67.0,14,4.0,3,2013-03-14,2013
4,303.0,67.0,14,4.0,3,2013-03-14,2013
6,131.0,67.0,14,4.0,3,2013-03-14,2013
7,71.0,67.0,14,4.0,3,2013-03-14,2013
8,23.0,67.0,14,4.0,3,2013-03-14,2013
9,236.0,67.0,14,4.0,3,2013-03-14,2013
10,283.0,67.0,14,4.0,3,2013-03-14,2013
1,225.0,68.0,15,5.0,3,2013-03-15,2013
2,159.0,68.0,15,5.0,3,2013-03-15,2013
3,209.0,68.0,15,5.0,3,2013-03-15,2013
4,261.0,68.0,15,5.0,3,2013-03-15,2013
