r_date,date,brand,day_of_week,cnt
2013-01-06,6.0,5,,
2013-01-06,6.0,6,7.0,134.0
2013-01-06,6.0,7,7.0,167.0
2013-01-06,6.0,8,7.0,55.0
2013-01-06,6.0,9,7.0,412.0
2013-01-06,6.0,10,7.0,647.0
2013-01-07,7.0,1,1.0,574.0
2013-01-07,7.0,2,1.0,371.0
2013-01-07,7.0,3,1.0,340.0
2013-01-07,7.0,4,1.0,889.0
2013-01-07,7.0,5,,
2013-01-07,7.0,6,1.0,157.0
2013-01-07,7.0,7,1.0,232.0
2013-01-07,7.0,8,1.0,127.0
2013-01-07,7.0,9,1.0,381.0
2013-01-07,7.0,10,1.0,638.0
2013-01-08,8.0,1,2.0,842.0
2013-01-08,8.0,2,2.0,597.0
2013-01-08,8.0,3,2.0,294.0
2013-01-08,8.0,4,2.0,893.0
2013-01-08,8.0,5,,
2013-01-08,8.0,6,2.0,202.0
2013-01-08,8.0,7,2.0,386.0
2013-01-08,8.0,8,2.0,190.0
2013-01-08,8.0,9,2.0,399.0
2013-01-08,8.0,10,2.0,695.0
2013-01-09,9.0,1,3.0,640.0
2013-01-09,9.0,2,3.0,557.0
2013-01-09,9.0,3,3.0,488.0
2013-01-09,9.0,4,3.0,569.0
2013-01-09,9.0,5,,
2013-01-09,9.0,6,3.0,161.0
2013-01-09,9.0,7,3.0,270.0
2013-01-09,9.0,8,3.0,59.0
2013-01-09,9.0,9,3.0,544.0
2013-01-09,9.0,10,3.0,673.0
2013-01-10,10.0,1,4.0,389.0
2013-01-10,10.0,2,4.0,389.0
2013-01-10,10.0,3,4.0,335.0
2013-01-10,10.0,4,4.0,623.0
2013-01-10,10.0,5,,
2013-01-10,10.0,6,4.0,139.0
2013-01-10,10.0,7,4.0,165.0
2013-01-10,10.0,8,4.0,70.0
2013-01-10,10.0,9,4.0,439.0
2013-01-10,10.0,10,4.0,585.0
2013-01-11,11.0,1,5.0,274.0
2013-01-11,11.0,2,5.0,504.0
2013-01-11,11.0,3,5.0,235.0
2013-01-11,11.0,4,5.0,470.0
2013-01-11,11.0,5,,
2013-01-11,11.0,6,5.0,143.0
2013-01-11,11.0,7,5.0,154.0
2013-01-11,11.0,8,5.0,76.0
2013-01-11,11.0,9,5.0,344.0
2013-01-11,11.0,10,5.0,741.0
2013-01-12,12.0,1,6.0,94.0
2013-01-12,12.0,2,,
2013-01-12,12.0,3,,
2013-01-12,12.0,4,6.0,87.0
2013-01-12,12.0,5,,
2013-01-12,12.0,6,6.0,12.0
2013-01-12,12.0,7,6.0,64.0
2013-01-12,12.0,8,6.0,32.0
2013-01-12,12.0,9,6.0,31.0
2013-01-12,12.0,10,6.0,129.0
2013-01-13,13.0,1,7.0,27.0
2013-01-13,13.0,2,,
2013-01-13,13.0,3,7.0,28.0
2013-01-13,13.0,4,,
2013-01-13,13.0,5,,
2013-01-13,13.0,6,,
2013-01-13,13.0,7,,
2013-01-13,13.0,8,,
2013-01-13,13.0,9,7.0,13.0
2013-01-13,13.0,10,,
2013-01-14,14.0,1,1.0,449.0
2013-01-14,14.0,2,1.0,212.0
2013-01-14,14.0,3,1.0,366.0
2013-01-14,14.0,4,1.0,575.0
2013-01-14,14.0,5,,
2013-01-14,14.0,6,1.0,185.0
2013-01-14,14.0,7,1.0,257.0
2013-01-14,14.0,8,1.0,51.0
2013-01-14,14.0,9,1.0,430.0
2013-01-14,14.0,10,1.0,721.0
2013-01-15,15.0,1,2.0,811.0
2013-01-15,15.0,2,2.0,597.0
2013-01-15,15.0,3,2.0,294.0
2013-01-15,15.0,4,2.0,544.0
2013-01-15,15.0,5,,
2013-01-15,15.0,6,2.0,154.0
2013-01-15,15.0,7,2.0,161.0
2013-01-15,15.0,8,2.0,32.0
2013-01-15,15.0,9,2.0,445.0
2013-01-15,15.0,10,2.0,669.0
2013-01-16,16.0,1,3.0,611.0
2013-01-16,16.0,2,3.0,371.0
2013-01-16,16.0,3,3.0,305.0
2013-01-16,16.0,4,3.0,305.0
2013-01-16,16.0,5,,
2013-01-16,16.0,6,3.0,194.0
2013-01-16,16.0,7,3.0,240.0
2013-01-16,16.0,8,,
2013-01-16,16.0,9,3.0,401.0
2013-01-16,16.0,10,3.0,456.0
2013-01-17,17.0,1,4.0,663.0
2013-01-17,17.0,2,4.0,1094.0
2013-01-17,17.0,3,4.0,575.0
2013-01-17,17.0,4,4.0,735.0
2013-01-17,17.0,5,,
2013-01-17,17.0,6,4.0,588.0
2013-01-17,17.0,7,4.0,802.0
2013-01-17,17.0,8,4.0,116.0
2013-01-17,17.0,9,4.0,1002.0
2013-01-17,17.0,10,4.0,1680.0
2013-01-18,18.0,1,5.0,424.0
2013-01-18,18.0,2,5.0,371.0
2013-01-18,18.0,3,5.0,366.0
2013-01-18,18.0,4,5.0,627.0
2013-01-18,18.0,5,,
2013-01-18,18.0,6,5.0,204.0
2013-01-18,18.0,7,5.0,206.0
2013-01-18,18.0,8,5.0,76.0
2013-01-18,18.0,9,5.0,405.0
2013-01-18,18.0,10,5.0,680.0
2013-01-19,19.0,1,6.0,94.0
2013-01-19,19.0,2,,
2013-01-19,19.0,3,6.0,196.0
2013-01-19,19.0,4,6.0,65.0
2013-01-19,19.0,5,,
2013-01-19,19.0,6,6.0,18.0
2013-01-19,19.0,7,6.0,32.0
2013-01-19,19.0,8,,
2013-01-19,19.0,9,6.0,46.0
2013-01-19,19.0,10,6.0,26.0
2013-01-20,20.0,1,7.0,27.0
2013-01-20,20.0,2,,
2013-01-20,20.0,3,,
2013-01-20,20.0,4,,
2013-01-20,20.0,5,,
2013-01-20,20.0,6,7.0,5.0
2013-01-20,20.0,7,7.0,28.0
2013-01-20,20.0,8,,
2013-01-20,20.0,9,7.0,40.0
2013-01-20,20.0,10,7.0,22.0
2013-01-21,21.0,1,1.0,299.0
2013-01-21,21.0,2,1.0,318.0
2013-01-21,21.0,3,1.0,235.0
2013-01-21,21.0,4,1.0,819.0
2013-01-21,21.0,5,,
2013-01-21,21.0,6,1.0,185.0
2013-01-21,21.0,7,1.0,129.0
2013-01-21,21.0,8,1.0,76.0
2013-01-21,21.0,9,1.0,552.0
2013-01-21,21.0,10,1.0,1071.0
2013-01-22,22.0,1,2.0,686.0
2013-01-22,22.0,2,2.0,166.0
2013-01-22,22.0,3,2.0,98.0
2013-01-22,22.0,4,2.0,610.0
2013-01-22,22.0,5,,
2013-01-22,22.0,6,2.0,166.0
2013-01-22,22.0,7,2.0,322.0
2013-01-22,22.0,8,2.0,63.0
2013-01-22,22.0,9,2.0,583.0
2013-01-22,22.0,10,2.0,618.0
2013-01-23,23.0,1,3.0,582.0
2013-01-23,23.0,2,3.0,124.0
2013-01-23,23.0,3,3.0,305.0
2013-01-23,23.0,4,3.0,447.0
2013-01-23,23.0,5,,
2013-01-23,23.0,6,3.0,122.0
2013-01-23,23.0,7,3.0,120.0
2013-01-23,23.0,8,3.0,30.0
2013-01-23,23.0,9,3.0,387.0
2013-01-23,23.0,10,3.0,865.0
2013-01-24,24.0,1,4.0,320.0
2013-01-24,24.0,2,4.0,97.0
2013-01-24,24.0,3,4.0,192.0
2013-01-24,24.0,4,4.0,447.0
2013-01-24,24.0,5,,
2013-01-24,24.0,6,4.0,135.0
2013-01-24,24.0,7,4.0,212.0
2013-01-24,24.0,8,4.0,46.0
2013-01-24,24.0,9,4.0,315.0
2013-01-24,24.0,10,4.0,491.0
2013-01-25,25.0,1,5.0,374.0
2013-01-25,25.0,2,5.0,345.0
2013-01-25,25.0,3,5.0,209.0
2013-01-25,25.0,4,5.0,192.0
2013-01-25,25.0,5,,
2013-01-25,25.0,6,5.0,166.0
2013-01-25,25.0,7,5.0,180.0
2013-01-25,25.0,8,,
2013-01-25,25.0,9,5.0,368.0
2013-01-25,25.0,10,5.0,329.0
2013-01-26,26.0,1,6.0,62.0
2013-01-26,26.0,2,,
2013-01-26,26.0,3,,
2013-01-26,26.0,4,6.0,22.0
2013-01-26,26.0,5,,
2013-01-26,26.0,6,6.0,6.0
2013-01-26,26.0,7,6.0,32.0
2013-01-26,26.0,8,,
2013-01-26,26.0,9,6.0,46.0
2013-01-26,26.0,10,6.0,51.0
2013-01-27,27.0,1,7.0,27.0
2013-01-27,27.0,2,,
2013-01-27,27.0,3,,
2013-01-27,27.0,4,,
2013-01-27,27.0,5,,
2013-01-27,27.0,6,,
2013-01-27,27.0,7,,
2013-01-27,27.0,8,,
2013-01-27,27.0,9,,
2013-01-27,27.0,10,,
2013-01-28,28.0,1,1.0,424.0
2013-01-28,28.0,2,1.0,239.0
2013-01-28,28.0,3,1.0,470.0
2013-01-28,28.0,4,1.0,767.0
2013-01-28,28.0,5,,
2013-01-28,28.0,6,1.0,147.0
2013-01-28,28.0,7,1.0,206.0
2013-01-28,28.0,8,1.0,25.0
2013-01-28,28.0,9,1.0,503.0
2013-01-28,28.0,10,1.0,968.0
2013-01-29,29.0,1,2.0,780.0
2013-01-29,29.0,2,2.0,365.0
2013-01-29,29.0,3,2.0,261.0
2013-01-29,29.0,4,2.0,697.0
2013-01-29,29.0,5,,
2013-01-29,29.0,6,2.0,196.0
2013-01-29,29.0,7,2.0,257.0
2013-01-29,29.0,8,2.0,63.0
2013-01-29,29.0,9,2.0,552.0
2013-01-29,29.0,10,2.0,618.0
2013-01-30,30.0,1,3.0,524.0
2013-01-30,30.0,2,3.0,526.0
2013-01-30,30.0,3,3.0,366.0
2013-01-30,30.0,4,3.0,508.0
2013-01-30,30.0,5,,
2013-01-30,30.0,6,3.0,188.0
2013-01-30,30.0,7,3.0,270.0
2013-01-30,30.0,8,3.0,89.0
2013-01-30,30.0,9,3.0,544.0
2013-01-30,30.0,10,3.0,601.0
2013-01-31,31.0,1,4.0,343.0
2013-01-31,31.0,2,4.0,340.0
2013-01-31,31.0,3,4.0,264.0
2013-01-31,31.0,4,4.0,224.0
2013-01-31,31.0,5,,
2013-01-31,31.0,6,4.0,148.0
2013-01-31,31.0,7,4.0,212.0
2013-01-31,31.0,8,,
2013-01-31,31.0,9,4.0,439.0
2013-01-31,31.0,10,4.0,604.0
2013-02-01,32.0,1,5.0,524.0
2013-02-01,32.0,2,5.0,345.0
2013-02-01,32.0,3,5.0,366.0
2013-02-01,32.0,4,5.0,523.0
2013-02-01,32.0,5,,
2013-02-01,32.0,6,5.0,185.0
2013-02-01,32.0,7,5.0,232.0
2013-02-01,32.0,8,5.0,51.0
2013-02-01,32.0,9,5.0,466.0
2013-02-01,32.0,10,5.0,515.0
2013-02-02,33.0,1,6.0,62.0
2013-02-02,33.0,2,6.0,33.0
2013-02-02,33.0,3,,
2013-02-02,33.0,4,6.0,44.0
2013-02-02,33.0,5,,
2013-02-02,33.0,6,6.0,6.0
2013-02-02,33.0,7,6.0,32.0
2013-02-02,33.0,8,6.0,32.0
2013-02-02,33.0,9,6.0,92.0
2013-02-02,33.0,10,6.0,51.0
2013-02-03,34.0,1,,
2013-02-03,34.0,2,,
2013-02-03,34.0,3,,
2013-02-03,34.0,4,,
2013-02-03,34.0,5,,
2013-02-03,34.0,6,7.0,5.0
2013-02-03,34.0,7,,
2013-02-03,34.0,8,,
2013-02-03,34.0,9,7.0,27.0
2013-02-03,34.0,10,,
2013-02-04,35.0,1,1.0,898.0
2013-02-04,35.0,2,1.0,663.0
2013-02-04,35.0,3,1.0,392.0
2013-02-04,35.0,4,1.0,802.0
2013-02-04,35.0,5,,
2013-02-04,35.0,6,1.0,209.0
2013-02-04,35.0,7,1.0,386.0
2013-02-04,35.0,8,1.0,25.0
2013-02-04,35.0,9,1.0,835.0
2013-02-04,35.0,10,1.0,1071.0
2013-02-05,36.0,1,2.0,499.0
2013-02-05,36.0,2,2.0,630.0
2013-02-05,36.0,3,2.0,196.0
2013-02-05,36.0,4,2.0,871.0
2013-02-05,36.0,5,,
2013-02-05,36.0,6,2.0,214.0
2013-02-05,36.0,7,2.0,322.0
2013-02-05,36.0,8,2.0,127.0
2013-02-05,36.0,9,2.0,813.0
2013-02-05,36.0,10,2.0,978.0
2013-02-06,37.0,1,3.0,902.0
2013-02-06,37.0,2,3.0,588.0
2013-02-06,37.0,3,3.0,305.0
2013-02-06,37.0,4,3.0,976.0
2013-02-06,37.0,5,,
2013-02-06,37.0,6,3.0,283.0
2013-02-06,37.0,7,3.0,270.0
2013-02-06,37.0,8,3.0,30.0
2013-02-06,37.0,9,3.0,759.0
2013-02-06,37.0,10,3.0,1129.0
2013-02-07,38.0,1,4.0,503.0
2013-02-07,38.0,2,4.0,365.0
2013-02-07,38.0,3,4.0,216.0
2013-02-07,38.0,4,4.0,479.0
2013-02-07,38.0,5,,
2013-02-07,38.0,6,4.0,183.0
2013-02-07,38.0,7,4.0,118.0
2013-02-07,38.0,8,4.0,23.0
2013-02-07,38.0,9,4.0,720.0
2013-02-07,38.0,10,4.0,717.0
2013-02-08,39.0,1,5.0,100.0
2013-02-08,39.0,2,5.0,159.0
2013-02-08,39.0,3,5.0,26.0
2013-02-08,39.0,4,5.0,174.0
2013-02-08,39.0,5,,
2013-02-08,39.0,6,5.0,57.0
2013-02-08,39.0,7,5.0,77.0
2013-02-08,39.0,8,,
2013-02-08,39.0,9,5.0,135.0
2013-02-08,39.0,10,5.0,185.0
2013-02-09,,1,,
2013-02-09,,2,,
2013-02-09,,3,,
2013-02-09,,4,,
2013-02-09,,5,,
2013-02-09,,6,,
2013-02-09,,7,,
2013-02-09,,8,,
2013-02-09,,9,,
2013-02-09,,10,,
2013-02-10,,1,,
2013-02-10,,2,,
2013-02-10,,3,,
2013-02-10,,4,,
2013-02-10,,5,,
2013-02-10,,6,,
2013-02-10,,7,,
2013-02-10,,8,,
2013-02-10,,9,,
2013-02-10,,10,,
2013-02-11,,1,,
2013-02-11,,2,,
2013-02-11,,3,,
2013-02-11,,4,,
2013-02-11,,5,,
2013-02-11,,6,,
2013-02-11,,7,,
2013-02-11,,8,,
2013-02-11,,9,,
2013-02-11,,10,,
2013-02-12,,1,,
2013-02-12,,2,,
2013-02-12,,3,,
2013-02-12,,4,,
2013-02-12,,5,,
2013-02-12,,6,,
2013-02-12,,7,,
2013-02-12,,8,,
2013-02-12,,9,,
2013-02-12,,10,,
2013-02-13,,1,,
2013-02-13,,2,,
2013-02-13,,3,,
2013-02-13,,4,,
2013-02-13,,5,,
2013-02-13,,6,,
2013-02-13,,7,,
2013-02-13,,8,,
2013-02-13,,9,,
2013-02-13,,10,,
2013-02-14,40.0,1,,
2013-02-14,40.0,2,,
2013-02-14,40.0,3,,
2013-02-14,40.0,4,,
2013-02-14,40.0,5,,
2013-02-14,40.0,6,,
2013-02-14,40.0,7,,
2013-02-14,40.0,8,,
2013-02-14,40.0,9,4.0,11.0
2013-02-14,40.0,10,4.0,19.0
2013-02-15,41.0,1,,
2013-02-15,41.0,2,,
2013-02-15,41.0,3,,
2013-02-15,41.0,4,,
2013-02-15,41.0,5,,
2013-02-15,41.0,6,,
2013-02-15,41.0,7,5.0,26.0
2013-02-15,41.0,8,,
2013-02-15,41.0,9,,
2013-02-15,41.0,10,,
2013-02-16,42.0,1,6.0,842.0
2013-02-16,42.0,2,6.0,332.0
2013-02-16,42.0,3,6.0,229.0
2013-02-16,42.0,4,6.0,762.0
2013-02-16,42.0,5,,
2013-02-16,42.0,6,6.0,160.0
2013-02-16,42.0,7,6.0,32.0
2013-02-16,42.0,8,,
2013-02-16,42.0,9,6.0,614.0
2013-02-16,42.0,10,6.0,746.0
2013-02-17,43.0,1,7.0,946.0
2013-02-17,43.0,2,7.0,316.0
2013-02-17,43.0,3,7.0,57.0
2013-02-17,43.0,4,7.0,812.0
2013-02-17,43.0,5,,
2013-02-17,43.0,6,7.0,165.0
2013-02-17,43.0,7,,
2013-02-17,43.0,8,,
2013-02-17,43.0,9,7.0,598.0
2013-02-17,43.0,10,7.0,602.0
2013-02-18,44.0,1,1.0,599.0
2013-02-18,44.0,2,1.0,186.0
2013-02-18,44.0,3,1.0,105.0
2013-02-18,44.0,4,1.0,488.0
2013-02-18,44.0,5,,
2013-02-18,44.0,6,1.0,147.0
2013-02-18,44.0,7,1.0,26.0
2013-02-18,44.0,8,1.0,25.0
2013-02-18,44.0,9,1.0,479.0
2013-02-18,44.0,10,1.0,432.0
2013-02-19,45.0,1,2.0,624.0
2013-02-19,45.0,2,2.0,199.0
2013-02-19,45.0,3,2.0,131.0
2013-02-19,45.0,4,2.0,348.0
2013-02-19,45.0,5,,
2013-02-19,45.0,6,2.0,131.0
2013-02-19,45.0,7,2.0,193.0
2013-02-19,45.0,8,2.0,32.0
2013-02-19,45.0,9,2.0,644.0
2013-02-19,45.0,10,2.0,309.0
2013-02-20,46.0,1,3.0,553.0
2013-02-20,46.0,2,3.0,371.0
2013-02-20,46.0,3,3.0,122.0
2013-02-20,46.0,4,3.0,468.0
2013-02-20,46.0,5,,
2013-02-20,46.0,6,3.0,144.0
2013-02-20,46.0,7,3.0,150.0
2013-02-20,46.0,8,3.0,30.0
2013-02-20,46.0,9,3.0,530.0
2013-02-20,46.0,10,3.0,408.0
2013-02-21,47.0,1,4.0,480.0
2013-02-21,47.0,2,4.0,170.0
2013-02-21,47.0,3,4.0,120.0
2013-02-21,47.0,4,4.0,351.0
2013-02-21,47.0,5,,
2013-02-21,47.0,6,4.0,118.0
2013-02-21,47.0,7,4.0,118.0
2013-02-21,47.0,8,4.0,46.0
2013-02-21,47.0,9,4.0,360.0
2013-02-21,47.0,10,4.0,434.0
2013-02-22,48.0,1,5.0,374.0
2013-02-22,48.0,2,5.0,186.0
2013-02-22,48.0,3,5.0,131.0
2013-02-22,48.0,4,5.0,418.0
2013-02-22,48.0,5,,
2013-02-22,48.0,6,5.0,105.0
2013-02-22,48.0,7,5.0,77.0
2013-02-22,48.0,8,,
2013-02-22,48.0,9,5.0,466.0
2013-02-22,48.0,10,5.0,268.0
2013-02-23,49.0,1,,
2013-02-23,49.0,2,,
2013-02-23,49.0,3,,
2013-02-23,49.0,4,,
2013-02-23,49.0,5,,
2013-02-23,49.0,6,6.0,6.0
2013-02-23,49.0,7,6.0,32.0
2013-02-23,49.0,8,,
2013-02-23,49.0,9,6.0,15.0
2013-02-23,49.0,10,6.0,26.0
2013-02-24,50.0,1,,
2013-02-24,50.0,2,,
2013-02-24,50.0,3,,
2013-02-24,50.0,4,,
2013-02-24,50.0,5,,
2013-02-24,50.0,6,,
2013-02-24,50.0,7,,
2013-02-24,50.0,8,,
2013-02-24,50.0,9,7.0,13.0
2013-02-24,50.0,10,,
2013-02-25,51.0,1,1.0,424.0
2013-02-25,51.0,2,1.0,292.0
2013-02-25,51.0,3,1.0,105.0
2013-02-25,51.0,4,1.0,592.0
2013-02-25,51.0,5,,
2013-02-25,51.0,6,1.0,124.0
2013-02-25,51.0,7,1.0,129.0
2013-02-25,51.0,8,,
2013-02-25,51.0,9,1.0,368.0
2013-02-25,51.0,10,1.0,227.0
2013-02-26,52.0,1,2.0,312.0
2013-02-26,52.0,2,2.0,199.0
2013-02-26,52.0,3,2.0,229.0
2013-02-26,52.0,4,2.0,436.0
2013-02-26,52.0,5,,
2013-02-26,52.0,6,2.0,143.0
2013-02-26,52.0,7,2.0,97.0
2013-02-26,52.0,8,,
2013-02-26,52.0,9,2.0,491.0
2013-02-26,52.0,10,2.0,232.0
2013-02-27,53.0,1,3.0,204.0
2013-02-27,53.0,2,3.0,186.0
2013-02-27,53.0,3,3.0,152.0
2013-02-27,53.0,4,3.0,590.0
2013-02-27,53.0,5,,
2013-02-27,53.0,6,3.0,133.0
2013-02-27,53.0,7,3.0,120.0
2013-02-27,53.0,8,,
2013-02-27,53.0,9,3.0,272.0
2013-02-27,53.0,10,3.0,312.0
2013-02-28,54.0,1,4.0,274.0
2013-02-28,54.0,2,4.0,24.0
2013-02-28,54.0,3,4.0,144.0
2013-02-28,54.0,4,4.0,208.0
2013-02-28,54.0,5,,
2013-02-28,54.0,6,4.0,87.0
2013-02-28,54.0,7,4.0,165.0
2013-02-28,54.0,8,,
2013-02-28,54.0,9,4.0,236.0
2013-02-28,54.0,10,4.0,321.0
2013-03-01,55.0,1,5.0,399.0
2013-03-01,55.0,2,5.0,80.0
2013-03-01,55.0,3,5.0,209.0
2013-03-01,55.0,4,5.0,314.0
2013-03-01,55.0,5,,
2013-03-01,55.0,6,5.0,128.0
2013-03-01,55.0,7,5.0,51.0
2013-03-01,55.0,8,5.0,25.0
2013-03-01,55.0,9,5.0,381.0
2013-03-01,55.0,10,5.0,453.0
2013-03-02,56.0,1,6.0,31.0
2013-03-02,56.0,2,,
2013-03-02,56.0,3,,
2013-03-02,56.0,4,,
2013-03-02,56.0,5,,
2013-03-02,56.0,6,,
2013-03-02,56.0,7,,
2013-03-02,56.0,8,,
2013-03-02,56.0,9,6.0,61.0
2013-03-02,56.0,10,,
2013-03-03,,1,,
2013-03-03,,2,,
2013-03-03,,3,,
2013-03-03,,4,,
2013-03-03,,5,,
2013-03-03,,6,,
2013-03-03,,7,,
2013-03-03,,8,,
2013-03-03,,9,,
2013-03-03,,10,,
2013-03-04,57.0,1,1.0,474.0
2013-03-04,57.0,2,1.0,239.0
2013-03-04,57.0,3,1.0,209.0
2013-03-04,57.0,4,1.0,401.0
2013-03-04,57.0,5,,
2013-03-04,57.0,6,1.0,114.0
2013-03-04,57.0,7,1.0,103.0
2013-03-04,57.0,8,,
2013-03-04,57.0,9,1.0,466.0
2013-03-04,57.0,10,1.0,227.0
2013-03-05,58.0,1,2.0,281.0
2013-03-05,58.0,2,2.0,464.0
2013-03-05,58.0,3,2.0,229.0
2013-03-05,58.0,4,2.0,544.0
2013-03-05,58.0,5,,
2013-03-05,58.0,6,2.0,160.0
2013-03-05,58.0,7,2.0,161.0
2013-03-05,58.0,8,,
2013-03-05,58.0,9,2.0,384.0
2013-03-05,58.0,10,2.0,463.0
2013-03-06,59.0,1,3.0,437.0
2013-03-06,59.0,2,3.0,124.0
2013-03-06,59.0,3,3.0,91.0
2013-03-06,59.0,4,3.0,468.0
2013-03-06,59.0,5,,
2013-03-06,59.0,6,3.0,139.0
2013-03-06,59.0,7,3.0,120.0
2013-03-06,59.0,8,,
2013-03-06,59.0,9,3.0,573.0
2013-03-06,59.0,10,3.0,336.0
2013-03-07,60.0,1,4.0,252.0
2013-03-07,60.0,2,4.0,97.0
2013-03-07,60.0,3,4.0,168.0
2013-03-07,60.0,4,4.0,335.0
2013-03-07,60.0,5,,
2013-03-07,60.0,6,4.0,96.0
2013-03-07,60.0,7,4.0,142.0
2013-03-07,60.0,8,4.0,23.0
2013-03-07,60.0,9,4.0,338.0
2013-03-07,60.0,10,4.0,415.0
2013-03-08,61.0,1,5.0,150.0
2013-03-08,61.0,2,5.0,133.0
2013-03-08,61.0,3,5.0,131.0
2013-03-08,61.0,4,5.0,261.0
2013-03-08,61.0,5,,
2013-03-08,61.0,6,5.0,95.0
2013-03-08,61.0,7,5.0,180.0
2013-03-08,61.0,8,5.0,25.0
2013-03-08,61.0,9,5.0,233.0
2013-03-08,61.0,10,5.0,412.0
2013-03-09,62.0,1,6.0,94.0
2013-03-09,62.0,2,,
2013-03-09,62.0,3,,
2013-03-09,62.0,4,6.0,44.0
2013-03-09,62.0,5,,
2013-03-09,62.0,6,6.0,12.0
2013-03-09,62.0,7,,
2013-03-09,62.0,8,,
2013-03-09,62.0,9,6.0,61.0
2013-03-09,62.0,10,6.0,51.0
2013-03-10,63.0,1,,
2013-03-10,63.0,2,,
2013-03-10,63.0,3,,
2013-03-10,63.0,4,7.0,19.0
2013-03-10,63.0,5,,
2013-03-10,63.0,6,7.0,5.0
2013-03-10,63.0,7,7.0,28.0
2013-03-10,63.0,8,,
2013-03-10,63.0,9,7.0,27.0
2013-03-10,63.0,10,7.0,22.0
2013-03-11,64.0,1,1.0,299.0
2013-03-11,64.0,2,1.0,398.0
2013-03-11,64.0,3,1.0,287.0
2013-03-11,64.0,4,1.0,732.0
2013-03-11,64.0,5,,
2013-03-11,64.0,6,1.0,124.0
2013-03-11,64.0,7,1.0,154.0
2013-03-11,64.0,8,,
2013-03-11,64.0,9,1.0,368.0
2013-03-11,64.0,10,1.0,371.0
2013-03-12,65.0,1,2.0,499.0
2013-03-12,65.0,2,2.0,199.0
2013-03-12,65.0,3,2.0,229.0
2013-03-12,65.0,4,2.0,436.0
2013-03-12,65.0,5,,
2013-03-12,65.0,6,2.0,71.0
2013-03-12,65.0,7,2.0,225.0
2013-03-12,65.0,8,,
2013-03-12,65.0,9,2.0,384.0
2013-03-12,65.0,10,2.0,489.0
2013-03-13,66.0,1,3.0,175.0
2013-03-13,66.0,2,3.0,31.0
2013-03-13,66.0,3,3.0,183.0
2013-03-13,66.0,4,3.0,407.0
2013-03-13,66.0,5,,
2013-03-13,66.0,6,3.0,89.0
2013-03-13,66.0,7,3.0,150.0
2013-03-13,66.0,8,3.0,30.0
2013-03-13,66.0,9,3.0,387.0
2013-03-13,66.0,10,3.0,384.0
2013-03-14,67.0,1,4.0,297.0
2013-03-14,67.0,2,4.0,73.0
2013-03-14,67.0,3,4.0,168.0
2013-03-14,67.0,4,4.0,303.0
2013-03-14,67.0,5,,
2013-03-14,67.0,6,4.0,131.0
2013-03-14,67.0,7,4.0,71.0
2013-03-14,67.0,8,4.0,23.0
2013-03-14,67.0,9,4.0,236.0
2013-03-14,67.0,10,4.0,283.0
2013-03-15,68.0,1,5.0,225.0
2013-03-15,68.0,2,5.0,159.0
2013-03-15,68.0,3,5.0,209.0
2013-03-15,68.0,4,5.0,261.0
2013-03-15,68.0,5,,
2013-03-15,68.0,6,5.0,157.0
2013-03-15,68.0,7,5.0,206.0
2013-03-15,68.0,8,,
2013-03-15,68.0,9,5.0,282.0
2013-03-15,68.0,10,5.0,329.0
2013-03-16,69.0,1,,
